,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.82,0.81,0.48,0.32,0.38,0.51,0.15
aime.csv,0.07,0.77,0.18,0.0,0.12,0.02,0.06
badtrinitycore.csv,0.0,0.0,0.2,0.45,0.25,0.51,0.19
electric-core.csv,0.39,0.0,0.44,0.35,0.39,0.52,0.16
geochat.csv,0.49,0.77,0.18,0.0,0.13,0.09,0.35
olsrd.csv,0.76,0.9,0.39,0.24,0.27,0.42,0.36
uwom.csv,0.19,0.0,0.51,0.34,0.0,0.63,0.34
