,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.42,0.8,0.48,0.18,0.09,0.16,0.43,0.48,0.39,0.7,0.85,0.54
aubit4gl.csv,0.04,0.38,0.41,0.0,0.69,0.05,0.05,0.0,0.51,0.04,0.74,0.18
liferea.csv,0.6,0.36,0.64,0.85,0.29,0.55,0.36,0.68,0.3,0.31,0.47,0.53
moving-pictures.csv,0.54,0.37,0.55,0.1,0.2,0.2,0.65,0.11,0.26,0.35,0.6,0.63
olex2.csv,0.42,0.36,0.68,0.5,0.53,0.26,0.33,0.66,0.26,0.41,0.61,0.73
opensim4opencog.csv,0.59,0.34,0.67,0.78,0.52,0.59,0.61,0.55,0.54,0.5,0.72,0.69
plearn.csv,0.68,0.59,0.68,0.43,0.02,0.39,0.46,0.02,0.37,0.55,0.17,0.66
psrchive.csv,0.58,0.84,0.71,0.47,0.6,0.44,0.42,0.57,0.64,0.47,0.83,0.61
re2c.csv,0.4,1.0,0.55,0.42,0.37,0.36,0.59,0.38,0.71,0.3,0.0,0.55
rebecca-aiml.csv,0.41,0.68,0.61,0.63,0.66,0.52,0.57,0.53,0.81,0.59,0.67,0.63
wxcode.csv,0.5,0.37,0.4,0.57,0.54,0.59,0.36,0.38,0.23,0.59,0.96,0.4
xfce.csv,0.63,0.38,0.59,0.63,0.54,0.56,0.5,0.67,0.68,0.53,0.54,0.62
