,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.15,0.29,0.13,0.0,0.04,0.13,0.23,0.23,0.67,0.16,0.21,0.24
aubit4gl.csv,0.01,0.14,0.13,0.05,0.29,0.02,0.03,0.0,0.45,0.02,0.08,0.13
liferea.csv,0.71,0.47,0.55,0.34,0.46,0.25,0.35,0.45,0.2,0.32,0.3,0.45
moving-pictures.csv,0.27,0.33,0.51,0.2,0.19,0.11,0.29,0.0,0.01,0.11,0.2,0.59
olex2.csv,0.15,0.43,0.4,0.23,0.33,0.27,0.29,0.45,0.75,0.23,0.13,0.24
opensim4opencog.csv,0.34,0.63,0.45,0.41,0.77,0.28,0.39,0.25,0.21,0.35,0.22,0.51
plearn.csv,0.42,0.73,0.56,0.18,0.04,0.23,0.52,0.0,0.81,0.52,0.0,0.46
psrchive.csv,0.34,0.12,0.27,0.48,0.42,0.51,0.39,0.43,0.62,0.28,0.29,0.37
re2c.csv,0.25,0.02,0.52,0.34,0.23,0.58,0.61,0.29,0.49,0.51,0.47,0.65
rebecca-aiml.csv,0.25,0.29,0.61,0.64,0.65,0.49,0.77,0.26,0.14,0.33,0.46,0.66
wxcode.csv,0.3,0.29,0.2,0.3,0.54,0.28,0.29,0.17,0.46,0.29,0.18,0.1
xfce.csv,0.35,0.8,0.55,0.34,0.65,0.71,0.77,0.4,0.66,0.77,0.54,0.55
