,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,8.0
aubit4gl.csv,1.0,0.0,0.0,56.0,1.0,4.0,0.0,250.0,2.0,3.0,0.0,6.0
liferea.csv,3.0,15.0,11.0,0.0,2.0,11.0,1.0,0.0,8.0,19.0,19.0,1.0
moving-pictures.csv,0.0,0.0,11.0,9.0,0.0,7.0,1.0,0.0,0.0,3.0,9.0,8.0
olex2.csv,2.0,15.0,4.0,1.0,0.0,15.0,2.0,1.0,1.0,1.0,6.0,0.0
opensim4opencog.csv,3.0,15.0,5.0,2.0,0.0,7.0,2.0,0.0,8.0,2.0,10.0,5.0
plearn.csv,6.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,7.0,0.0,3.0
psrchive.csv,9.0,0.0,4.0,6.0,1.0,12.0,3.0,1.0,2.0,3.0,0.0,3.0
re2c.csv,1.0,0.0,16.0,4.0,2.0,13.0,0.0,1.0,3.0,14.0,82.0,2.0
rebecca-aiml.csv,0.0,0.0,17.0,3.0,1.0,9.0,0.0,1.0,0.0,0.0,27.0,0.0
wxcode.csv,2.0,9.0,7.0,2.0,0.0,7.0,3.0,0.0,46.0,5.0,0.0,0.0
xfce.csv,2.0,11.0,0.0,3.0,0.0,13.0,4.0,0.0,2.0,15.0,34.0,5.0
