,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.37,0.83,0.43,0.15,0.07,0.13,0.39,0.44,0.41,0.67,0.86,0.5
aubit4gl.csv,0.03,0.33,0.36,0.0,0.69,0.04,0.04,0.0,0.5,0.03,0.71,0.15
liferea.csv,0.81,0.33,0.71,0.92,0.26,0.52,0.32,0.72,0.26,0.27,0.43,0.53
moving-pictures.csv,0.51,0.33,0.57,0.08,0.17,0.17,0.64,0.09,0.22,0.3,0.57,0.72
olex2.csv,0.37,0.33,0.71,0.46,0.5,0.22,0.29,0.69,0.26,0.37,0.57,0.72
opensim4opencog.csv,0.58,0.33,0.71,0.85,0.76,0.57,0.61,0.52,0.5,0.47,0.71,0.77
plearn.csv,0.71,0.83,0.79,0.38,0.02,0.35,0.46,0.02,0.48,0.57,0.14,0.7
psrchive.csv,0.56,0.83,0.71,0.46,0.61,0.43,0.39,0.57,0.78,0.43,0.86,0.6
re2c.csv,0.36,1.0,0.57,0.38,0.33,0.35,0.68,0.34,0.78,0.27,0.0,0.65
rebecca-aiml.csv,0.37,0.67,0.71,0.77,0.85,0.52,0.89,0.5,0.8,0.57,0.71,0.8
wxcode.csv,0.47,0.33,0.36,0.54,0.56,0.57,0.32,0.33,0.2,0.57,1.0,0.35
xfce.csv,0.63,0.5,0.64,0.62,0.63,0.74,0.71,0.69,0.91,0.8,0.57,0.68
