,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.43,0.38,0.4,0.27,0.13,0.12,0.48,0.57,0.27,0.56,0.41,0.56
aubit4gl.csv,0.06,0.27,0.34,0.0,0.7,0.07,0.07,0.0,0.38,0.06,0.56,0.23
liferea.csv,0.45,0.12,0.31,0.6,0.31,0.32,0.38,0.75,0.3,0.2,0.18,0.52
moving-pictures.csv,0.47,0.16,0.27,0.09,0.25,0.18,0.65,0.16,0.36,0.34,0.31,0.59
olex2.csv,0.43,0.13,0.37,0.41,0.56,0.14,0.36,0.73,0.17,0.31,0.38,0.72
opensim4opencog.csv,0.48,0.1,0.34,0.52,0.62,0.31,0.6,0.64,0.5,0.31,0.34,0.65
plearn.csv,0.52,0.21,0.33,0.38,0.04,0.23,0.46,0.04,0.28,0.29,0.25,0.62
psrchive.csv,0.46,0.59,0.45,0.3,0.62,0.17,0.43,0.65,0.47,0.32,0.34,0.59
re2c.csv,0.36,0.92,0.26,0.3,0.43,0.13,0.58,0.46,0.52,0.15,0.0,0.54
rebecca-aiml.csv,0.37,0.32,0.29,0.39,0.7,0.21,0.65,0.62,0.74,0.37,0.21,0.62
wxcode.csv,0.43,0.17,0.29,0.42,0.55,0.32,0.39,0.47,0.17,0.4,0.5,0.48
xfce.csv,0.5,0.12,0.28,0.44,0.57,0.22,0.56,0.74,0.52,0.31,0.15,0.59
