,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.64,0.34,0.59,0.85,0.93,0.88,0.65,0.61,0.9,0.37,0.25,0.55
aubit4gl.csv,0.97,0.68,0.66,1.0,0.43,0.96,0.96,1.0,0.68,0.97,0.3,0.86
liferea.csv,0.74,0.82,0.62,0.35,0.87,0.54,0.77,0.53,0.77,0.8,0.65,0.65
moving-pictures.csv,0.56,0.75,0.66,0.95,0.85,0.83,0.46,0.91,0.78,0.71,0.47,0.66
olex2.csv,0.64,0.79,0.49,0.58,0.6,0.83,0.77,0.55,1.05,0.68,0.45,0.37
opensim4opencog.csv,0.54,0.92,0.54,0.44,0.81,0.52,0.55,0.54,0.54,0.64,0.36,0.56
plearn.csv,0.51,0.74,0.6,0.64,0.98,0.69,0.74,0.98,0.96,0.68,0.86,0.55
psrchive.csv,0.56,0.2,0.39,0.72,0.57,0.76,0.72,0.6,0.66,0.63,0.32,0.54
re2c.csv,0.69,0.02,0.67,0.7,0.7,0.87,0.69,0.72,0.54,0.89,1.11,0.74
rebecca-aiml.csv,0.68,0.44,0.68,0.68,0.66,0.69,0.78,0.56,0.25,0.55,0.54,0.69
wxcode.csv,0.61,0.73,0.67,0.55,0.7,0.52,0.74,0.69,0.92,0.52,0.18,0.66
xfce.csv,0.51,0.95,0.65,0.51,0.74,0.76,0.83,0.51,0.67,0.79,0.69,0.63
