,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.42,0.35,0.58,0.0,0.0,0.42,0.4,0.0,0.35,0.34,0.38,0.45,0.42
fido.csv,0.83,0.39,0.5,0.0,0.0,0.94,0.52,0.97,0.92,0.88,0.0,0.92,0.42
fleet-simulator.csv,0.35,0.38,0.38,0.41,0.73,0.32,0.33,0.33,0.32,0.29,0.46,0.54,0.4
fluent-nhibernate.csv,0.86,0.69,0.47,0.43,0.96,0.68,0.38,0.48,0.59,0.67,0.88,0.62,0.71
galaxium.csv,0.39,0.4,0.51,0.43,0.74,0.78,0.37,0.36,0.33,0.38,0.45,0.52,0.44
itext.csv,0.4,0.33,0.37,0.37,0.29,0.4,0.33,0.33,0.36,0.52,0.43,0.43,0.38
mecat.csv,0.67,0.91,0.0,0.5,0.94,0.0,0.67,0.95,0.82,0.0,0.88,0.92,0.5
mediaportal.csv,0.5,0.83,0.93,0.8,0.47,0.0,0.89,0.56,0.91,0.64,0.5,0.75,0.68
ninject.csv,0.45,0.53,0.43,0.41,0.31,0.75,0.64,0.6,0.6,0.75,0.62,0.47,0.66
smartgwt.csv,0.73,0.46,0.58,0.94,0.38,0.31,0.39,0.65,0.76,0.92,0.38,0.49,0.51
sqlpower-library.csv,0.47,0.39,0.35,0.42,0.67,0.32,0.34,0.37,0.33,0.5,0.39,0.46,0.62
stuproa-cims.csv,0.47,0.78,0.83,0.67,0.62,0.75,0.0,0.55,0.65,0.0,0.55,0.77,0.45
uface.csv,0.38,0.41,0.36,0.43,0.44,0.32,0.34,0.33,0.33,0.56,0.4,0.43,0.38
