,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.88,0.88,0.83,0.72,0.61,0.89,0.78,0.5,0.98
carabiner.csv,0.69,0.88,0.45,0.64,0.87,0.88,0.46,0.86,0.82
grisbi.csv,0.95,0.98,1.0,0.59,1.0,0.88,0.77,1.0,0.98
jmol.csv,0.86,0.92,0.74,0.72,0.8,0.44,0.49,0.91,0.75
minig.csv,0.67,0.73,1.0,0.62,0.72,0.91,0.65,0.05,0.73
mobicents.csv,0.71,0.67,0.89,0.64,0.5,0.82,0.72,0.27,0.8
x4x.csv,0.81,0.77,0.65,0.72,0.78,0.91,0.43,0.59,0.95
zabbix.csv,0.48,0.59,0.18,0.51,0.65,0.5,0.4,0.23,0.95
zxing.csv,0.55,0.49,0.39,0.67,0.41,0.39,0.57,0.18,0.8
