,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.64,0.14,0.51,0.32,0.2,0.88,0.38,0.47,0.85,0.25,0.83,0.41
gamestone.csv,1.0,0.44,0.47,0.29,0.21,0.0,0.27,0.39,0.74,0.0,0.67,0.38
gbif-providertoolkit.csv,0.59,0.0,0.39,0.26,0.34,0.77,0.47,0.39,0.62,0.25,0.75,0.46
heekscad.csv,0.85,0.32,0.62,0.35,0.22,0.76,0.37,0.53,0.81,0.22,0.9,0.45
igarden.csv,0.77,0.14,0.62,0.45,0.24,0.83,0.37,0.53,0.87,0.32,0.91,0.41
levent.csv,0.77,0.5,0.0,0.0,0.2,0.78,0.33,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.46,0.11,0.27,0.25,0.12,0.0,0.52,0.4,0.65,0.19,0.71,0.22
openmsx.csv,0.61,0.14,0.3,0.38,0.27,0.69,0.35,0.55,0.79,0.25,0.73,1.0
pnotepad.csv,0.83,0.23,0.5,0.31,0.16,0.71,0.33,0.34,0.8,0.2,0.98,0.44
quark.csv,0.83,0.5,0.9,0.38,0.27,0.0,0.2,0.6,1.0,0.5,1.0,0.38
tango-cs.csv,0.67,0.31,0.42,0.31,0.19,0.72,0.22,0.4,0.8,0.2,0.85,0.54
xcsoar.csv,0.85,0.22,0.7,0.38,0.31,0.74,0.25,0.42,0.86,0.2,1.0,0.38
