,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.38,0.07,0.73,0.39,0.2,0.47,0.1,0.33,0.24,0.21,0.17
arsenal-1.csv,0.7,0.7,0.05,0.09,0.0,0.23,0.1,0.46,0.04,0.07,0.55
barracudamvc.csv,0.77,0.93,0.95,0.96,1.0,0.67,1.0,0.86,0.89,0.91,0.24
cascading.csv,0.4,0.85,0.64,0.91,0.56,0.49,0.6,0.34,0.74,0.5,0.59
emisview.csv,0.19,0.26,0.77,0.78,0.15,0.37,0.2,0.41,0.18,0.05,0.17
jitterbit.csv,0.75,1.0,0.77,0.7,0.34,0.73,0.7,0.41,0.38,0.41,0.86
jppf-project.csv,0.48,0.93,0.27,0.3,0.61,0.54,0.6,0.74,0.53,0.3,0.69
mevenide.csv,0.73,0.3,0.14,0.04,0.02,0.37,0.1,0.37,0.18,0.17,0.69
mycila.csv,0.77,1.0,0.14,0.91,0.63,0.24,0.6,0.76,0.71,0.82,0.31
ontopia.csv,0.23,0.59,0.59,0.7,0.83,0.45,0.7,0.67,0.11,0.83,0.14
trackit.csv,0.1,0.07,0.18,0.3,0.71,0.15,0.3,0.11,0.01,0.24,0.03
