,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.65,0.52,0.52,0.13,0.09,0.0,0.05,0.44,0.41,0.0,0.07,0.39
emono.csv,0.66,0.37,0.2,0.13,0.49,0.4,0.26,0.17,0.48,0.21,0.51,0.7
freedom-erp.csv,0.65,0.07,0.51,0.05,0.0,0.0,0.3,0.73,0.0,0.0,0.0,0.07
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.0,0.0,0.98,0.0,0.0
jmoney.csv,0.86,0.46,0.76,0.51,0.57,0.56,0.23,0.6,0.61,0.0,0.61,0.48
jmonkeyengine.csv,0.27,0.42,0.33,0.73,0.69,0.39,0.24,0.0,0.51,0.57,0.51,0.2
jsidplay2.csv,0.75,0.14,0.8,0.11,0.45,0.63,0.72,0.6,0.29,0.0,0.01,0.12
matrex.csv,0.71,0.35,0.41,0.0,0.07,0.63,0.83,0.39,0.0,0.0,0.2,0.19
mediate.csv,0.29,0.24,0.28,0.3,0.37,0.7,0.38,0.48,0.29,0.57,0.0,0.28
mesa3d.csv,0.51,0.4,0.49,0.54,0.43,0.13,0.6,0.65,0.62,0.0,0.59,0.56
pustefix.csv,0.27,0.07,0.17,0.64,0.63,0.16,0.06,0.07,0.14,0.87,0.17,0.52
reaper3d.csv,0.69,0.45,0.56,0.45,0.36,0.18,0.6,0.57,0.73,0.0,0.04,0.43
