,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.8,0.5,0.85,0.91,1.0,1.0,0.93,0.95,0.38,0.0,0.06,0.36
emono.csv,0.7,0.94,0.9,0.78,0.78,0.82,0.85,0.99,0.5,1.0,0.48,0.72
freedom-erp.csv,0.6,0.06,0.46,0.04,0.0,0.0,0.26,0.74,0.0,0.0,0.0,0.06
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.85,0.44,0.81,0.48,0.56,0.72,0.19,0.59,0.62,0.0,0.65,0.65
jmonkeyengine.csv,0.25,0.5,0.32,0.83,0.67,0.36,0.21,0.0,0.62,1.0,0.96,0.84
jsidplay2.csv,0.75,0.12,0.81,0.09,0.61,0.74,0.71,1.0,0.25,0.0,0.01,0.1
matrex.csv,0.7,0.31,0.36,0.0,0.06,0.64,0.82,0.35,0.0,0.0,0.17,0.16
mediate.csv,0.25,0.94,0.24,0.26,0.33,0.74,0.75,0.89,0.25,1.0,0.0,0.24
mesa3d.csv,0.5,0.38,0.49,0.52,0.39,1.0,0.62,0.92,0.75,0.0,0.57,0.72
pustefix.csv,0.25,0.06,0.14,0.61,0.61,0.13,0.05,0.06,0.12,1.0,0.99,0.55
reaper3d.csv,0.8,0.5,0.66,0.43,0.33,0.15,0.63,0.91,0.75,0.0,0.03,0.39
