,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.39,0.1,0.47,0.6,0.24,0.34,0.8,0.57,0.51,0.28,0.5,0.13,0.74,0.18,0.28,0.2,0.42,0.23
doomlegacy.csv,0.59,0.0,0.39,0.81,0.37,0.41,0.55,0.64,0.81,0.28,0.6,0.17,0.86,0.11,0.28,0.28,0.4,0.22
elmo.csv,0.42,0.12,0.67,0.5,0.45,0.4,0.78,0.0,0.83,0.0,0.0,0.16,0.73,0.38,0.44,0.24,0.44,0.25
geochat.csv,0.19,0.07,0.31,0.62,0.25,0.22,0.66,0.48,0.42,0.43,0.5,0.04,0.59,0.21,0.15,0.15,0.55,0.43
gpac.csv,0.5,0.07,0.4,0.72,0.31,0.32,0.55,0.68,0.49,0.26,0.5,0.17,0.67,0.2,0.3,0.24,0.37,0.23
illumination.csv,0.0,0.07,0.54,0.56,0.0,0.35,0.69,0.0,0.0,0.3,0.49,0.08,0.0,0.62,0.29,0.0,0.0,0.29
ktc.csv,0.7,0.1,0.56,0.78,0.55,0.57,0.76,0.59,0.6,0.31,0.82,0.2,0.81,0.21,0.68,0.26,0.42,0.35
neoengine.csv,0.54,0.07,0.58,0.8,0.39,0.43,0.69,0.55,0.49,0.33,0.56,0.15,0.77,0.21,0.53,0.22,0.49,0.27
nicepress.csv,0.54,0.1,0.42,0.69,0.45,0.62,0.7,0.52,0.49,0.28,0.73,0.22,0.86,0.32,0.35,0.24,0.47,0.29
omseek.csv,0.77,0.0,0.72,0.0,0.83,0.43,0.71,0.5,0.65,0.25,0.53,0.29,1.0,0.38,1.0,0.37,0.42,0.4
open-ms.csv,0.57,0.0,0.47,0.78,0.51,0.53,0.48,1.0,0.62,0.5,0.43,0.16,0.82,0.28,0.43,0.28,0.35,0.33
pi-qmc.csv,0.44,0.07,0.44,0.7,0.37,0.43,0.67,0.52,0.49,0.25,0.48,0.12,0.78,0.23,0.62,0.24,0.38,0.24
rosegarden.csv,0.63,0.09,0.42,0.71,0.54,0.49,0.57,0.65,0.61,0.31,0.56,0.16,0.8,0.11,0.31,0.23,0.39,0.13
smarttag.csv,0.56,0.11,0.65,0.72,0.37,0.43,0.61,0.58,0.83,0.38,0.56,0.14,0.8,0.23,0.71,0.22,0.42,0.27
sylpheed-claws.csv,0.44,0.07,0.4,0.61,0.29,0.34,0.61,0.63,0.68,0.28,0.46,0.11,0.75,0.22,0.28,0.21,0.46,0.28
tango-cs.csv,0.5,0.0,0.49,0.69,0.39,0.37,0.71,0.63,0.61,0.26,0.59,0.17,0.8,0.24,0.5,0.24,0.52,0.29
xemeiah.csv,0.59,0.08,0.43,0.94,0.45,0.42,0.57,0.62,0.54,0.24,0.71,0.21,0.81,0.17,0.5,0.26,0.4,0.39
zscreen.csv,0.54,0.08,0.69,0.87,0.49,0.4,0.62,0.68,0.61,0.27,0.58,0.17,0.8,0.22,0.64,0.22,0.43,0.26
