,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.51,0.42,0.78,0.4,0.59,0.31,0.43,0.4,0.38,0.52,0.47
haphazard.csv,0.9,0.97,0.75,0.98,0.93,0.0,0.86,0.0,0.92,0.97,0.94
jicarilla.csv,0.96,0.0,0.83,0.5,0.0,0.0,0.67,0.83,0.5,0.83,0.8
jruby.csv,0.49,0.43,0.52,0.76,0.51,0.35,0.56,0.37,0.35,0.45,0.49
optalgtoolkit.csv,0.51,0.52,0.93,0.48,0.46,0.61,0.49,0.61,0.82,0.71,0.6
ossim.csv,0.83,0.5,0.0,0.94,0.5,0.0,0.0,0.0,0.5,0.74,0.0
projectts.csv,0.51,0.44,0.56,0.46,0.38,0.28,0.58,0.41,0.42,0.48,0.46
qedo.csv,0.67,0.75,0.89,0.95,0.86,0.8,0.5,0.0,0.0,0.95,0.8
sabbu.csv,0.5,0.55,0.75,0.56,0.46,0.91,0.8,0.57,0.57,0.4,0.59
vxl.csv,0.69,0.85,0.57,0.96,0.93,0.5,0.47,0.34,0.86,0.81,0.83
zact.csv,0.83,0.0,0.0,0.83,0.86,0.67,0.0,0.93,0.0,0.73,0.67
