,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.57,0.55,0.51,0.67,0.44,0.77,0.63,0.06,0.73,0.66,0.95
haphazard.csv,0.15,0.26,0.11,0.22,0.12,0.0,0.19,0.0,0.0,0.12,0.11
jicarilla.csv,0.28,0.0,0.05,0.01,0.01,0.0,0.07,0.06,0.02,0.02,0.05
jruby.csv,0.35,0.92,0.59,0.3,0.56,0.61,0.33,0.5,0.73,0.48,0.11
optalgtoolkit.csv,0.56,0.71,0.27,0.56,0.71,0.0,0.52,0.5,0.35,0.56,0.58
ossim.csv,0.04,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.2,0.0
projectts.csv,0.33,0.95,0.81,0.65,0.74,0.97,0.0,0.56,0.56,0.94,0.89
qedo.csv,0.04,0.02,0.11,0.08,0.06,0.06,0.07,0.0,0.02,0.0,0.11
sabbu.csv,0.02,0.39,0.11,0.38,0.61,0.26,0.22,0.44,0.42,0.41,0.58
vxl.csv,0.81,0.0,0.76,0.31,0.12,0.03,0.89,1.0,0.1,0.37,0.32
zact.csv,0.02,0.01,0.0,0.02,0.0,0.29,0.0,0.06,0.0,0.56,0.05
