,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.79,0.59,0.39,0.81,0.29,0.79,0.54,1.0,0.54,0.5,0.83
haphazard.csv,0.03,0.16,0.0,0.12,0.0,0.05,0.46,0.02,0.92,0.05,0.11
jicarilla.csv,0.16,0.0,1.0,0.0,0.0,0.0,0.03,0.11,0.08,0.05,0.03
jruby.csv,0.59,0.97,0.61,0.31,0.43,0.63,0.43,0.66,0.85,0.41,0.99
optalgtoolkit.csv,0.74,0.78,0.15,0.38,0.86,0.95,0.57,0.43,0.31,0.86,0.37
ossim.csv,0.07,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.08,0.0,0.01
projectts.csv,0.64,0.95,0.73,0.88,0.86,0.89,0.97,0.5,0.85,0.86,0.87
qedo.csv,0.02,0.05,0.15,0.0,0.0,0.16,0.0,0.02,0.0,0.91,0.02
sabbu.csv,0.91,0.46,0.0,0.56,0.86,0.16,0.24,0.3,0.46,0.27,0.65
vxl.csv,0.47,0.92,1.0,0.12,0.0,0.05,0.92,0.93,0.15,0.09,0.24
zact.csv,0.09,0.0,0.0,0.06,1.0,0.32,0.0,0.32,0.0,0.27,0.02
