,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.48,0.27,0.34,0.3,0.25,0.24,0.07,0.41,0.48,0.45,0.27,0.09,0.17
archive-crawler.csv,0.25,0.3,0.41,0.45,0.09,0.32,0.33,0.14,0.61,0.27,0.5,0.06,0.42
biodwh.csv,0.13,0.03,0.65,0.11,0.02,0.0,0.06,0.04,0.24,0.38,0.23,0.67,0.24
blue-c.csv,0.77,0.7,0.67,0.57,0.61,0.16,0.25,0.51,0.8,0.55,0.47,0.87,0.39
dynalloy.csv,0.76,0.24,0.72,0.49,0.75,0.0,0.51,0.69,0.53,0.45,0.53,0.69,0.35
jcae.csv,0.11,0.12,0.22,0.19,0.02,0.12,0.06,0.1,0.09,0.35,0.37,0.06,0.23
kmatplot.csv,0.28,0.31,0.57,1.0,0.0,1.0,0.33,0.29,0.23,0.49,0.6,0.97,0.49
mscore.csv,0.7,0.92,1.0,0.6,0.41,0.24,0.26,0.47,0.62,0.76,0.97,0.84,0.9
nosleepsoftware.csv,0.01,0.07,0.0,0.28,0.05,0.12,0.36,0.1,0.04,0.22,0.2,0.03,0.11
openmalaria.csv,0.52,0.7,0.96,0.83,0.18,0.36,0.55,0.27,0.74,0.65,0.97,0.66,0.89
popeye-chess.csv,0.3,0.2,0.59,0.43,0.23,0.16,0.16,0.2,0.19,0.55,0.53,0.5,0.23
riff-evolve.csv,0.37,0.14,0.57,0.28,0.2,0.0,0.09,0.14,0.24,0.31,0.43,0.46,0.54
virtuoso.csv,0.7,0.99,0.97,0.98,0.2,1.0,0.78,0.98,0.94,0.89,0.83,0.21,0.58
