,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.0,2.0,18.0,62.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0,1.0,4.0
archive-crawler.csv,0.0,1.0,20.0,7.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,10.0
biodwh.csv,2.0,0.0,27.0,62.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0
blue-c.csv,1.0,2.0,32.0,62.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,25.0,7.0
dynalloy.csv,0.0,2.0,38.0,62.0,7.0,0.0,0.0,3.0,0.0,3.0,2.0,33.0,13.0
jcae.csv,2.0,4.0,3.0,62.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
kmatplot.csv,0.0,3.0,24.0,1.0,78.0,2.0,2.0,6.0,0.0,2.0,1.0,31.0,12.0
mscore.csv,0.0,0.0,48.0,21.0,2.0,1.0,0.0,6.0,0.0,7.0,0.0,16.0,15.0
nosleepsoftware.csv,1.0,142.0,87.0,10.0,78.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0
openmalaria.csv,6.0,1.0,46.0,23.0,2.0,1.0,2.0,3.0,0.0,6.0,1.0,13.0,13.0
popeye-chess.csv,0.0,1.0,36.0,12.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,6.0,7.0
riff-evolve.csv,0.0,0.0,18.0,62.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0
virtuoso.csv,0.0,2.0,48.0,1.0,2.0,2.0,3.0,3.0,0.0,8.0,0.0,1.0,6.0
