,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.61,0.64,0.48,1.04,0.6,0.31,0.67,0.58,0.6,0.55,0.33,0.67,0.69
archive-crawler.csv,0.67,0.77,0.52,0.87,0.64,0.44,0.48,0.59,0.7,0.51,0.58,0.86,0.79
biodwh.csv,0.57,0.69,0.85,1.01,0.86,0.97,0.76,0.91,0.63,0.79,0.71,0.71,0.29
blue-c.csv,0.79,0.72,0.68,1.15,0.62,0.26,0.5,0.55,0.81,0.65,0.48,0.87,0.7
dynalloy.csv,0.81,0.32,0.79,1.11,0.79,0.57,0.73,0.81,0.61,0.6,0.54,0.84,0.55
jcae.csv,0.77,0.95,0.24,1.02,0.8,0.48,0.79,0.79,0.71,0.49,0.72,0.65,0.63
kmatplot.csv,0.32,0.71,0.61,1.0,1.0,1.0,0.64,0.64,0.71,0.63,0.71,0.97,0.7
mscore.csv,0.7,0.92,1.0,0.78,0.42,0.38,0.42,0.51,0.65,0.77,0.97,0.84,0.9
nosleepsoftware.csv,0.93,1.0,1.0,0.42,1.0,0.97,0.74,0.93,0.96,0.85,0.93,0.98,0.84
openmalaria.csv,0.56,0.76,0.96,0.89,0.39,0.43,0.58,0.38,0.75,0.69,0.97,0.72,0.89
popeye-chess.csv,0.48,0.68,0.81,0.97,0.41,0.43,0.49,0.58,0.49,0.62,0.66,0.59,0.78
riff-evolve.csv,0.48,0.59,0.58,1.04,0.42,0.63,0.62,0.68,0.41,0.68,0.64,0.49,0.56
virtuoso.csv,0.73,0.99,0.97,0.98,0.37,1.0,0.8,0.98,0.94,0.89,0.85,0.52,0.67
