,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.6,0.46,0.67,0.0,0.5,0.79,0.39,0.6,0.62,0.66,0.79,0.38,0.38
archive-crawler.csv,0.42,0.33,0.65,0.28,0.42,0.7,0.66,0.48,0.58,0.6,0.65,0.17,0.36
biodwh.csv,0.5,0.36,0.42,0.0,0.17,0.04,0.28,0.12,0.46,0.33,0.37,0.6,0.81
blue-c.csv,0.55,0.61,0.66,0.0,0.73,0.81,0.6,0.7,0.52,0.6,0.79,0.42,0.45
dynalloy.csv,0.51,0.78,0.52,0.0,0.53,0.49,0.48,0.49,0.63,0.6,0.76,0.46,0.59
jcae.csv,0.28,0.07,0.87,0.0,0.24,0.58,0.26,0.25,0.35,0.65,0.41,0.41,0.46
kmatplot.csv,0.83,0.41,0.67,0.0,0.0,0.0,0.49,0.47,0.37,0.59,0.56,0.13,0.5
mscore.csv,0.65,0.3,0.0,0.48,0.81,0.71,0.68,0.73,0.66,0.58,0.13,0.48,0.36
nosleepsoftware.csv,0.09,0.0,0.0,0.7,0.0,0.04,0.39,0.09,0.05,0.2,0.12,0.02,0.2
openmalaria.csv,0.7,0.56,0.17,0.43,0.69,0.74,0.7,0.74,0.6,0.63,0.13,0.58,0.38
popeye-chess.csv,0.63,0.39,0.43,0.14,0.68,0.64,0.58,0.49,0.59,0.63,0.58,0.64,0.29
riff-evolve.csv,0.68,0.47,0.73,0.0,0.66,0.42,0.43,0.38,0.68,0.43,0.53,0.75,0.71
virtuoso.csv,0.6,0.05,0.13,0.09,0.71,0.0,0.53,0.09,0.24,0.38,0.47,0.56,0.6
