,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.71,0.96,0.72,0.75,0.34,0.6,0.52,0.64,0.63,0.96
aztec.csv,0.83,0.29,0.67,0.58,0.36,0.65,0.74,0.91,0.92,0.29,0.86
bl-toolkit.csv,0.33,0.95,0.74,1.0,0.95,0.99,1.0,0.82,1.0,0.85,1.0
clamav.csv,0.68,0.94,1.0,0.32,0.76,0.54,0.74,0.56,0.83,0.88,0.67
fm-classic.csv,0.94,1.0,0.07,1.0,1.0,0.73,0.85,1.0,0.96,0.92,0.96
kml.csv,0.42,0.45,0.88,0.56,0.34,0.67,0.55,0.57,0.39,0.9,0.97
lufa-lib.csv,0.45,0.49,0.76,0.61,0.57,0.8,0.44,0.61,0.74,0.59,0.76
mplayer-ce.csv,0.67,0.88,1.0,0.77,0.51,0.66,0.64,0.76,0.54,0.64,0.54
qmmp.csv,0.48,0.68,0.47,0.52,0.45,0.83,0.75,0.38,0.52,0.65,0.91
xapian.csv,0.87,0.95,1.0,0.82,0.62,0.51,0.84,0.64,0.34,0.97,0.71
xtreemfs.csv,0.48,0.38,0.69,0.61,0.34,0.74,0.68,0.77,0.52,0.27,0.99
