,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.75,0.78,0.59,0.85,1.0,0.72,0.56,0.88,0.78,0.65,0.91,0.57,1.17,0.35,0.46
atlc.csv,0.78,0.77,0.71,0.68,0.3,0.76,0.8,0.61,0.9,0.85,0.93,0.6,1.07,0.65,0.58
ipfilter.csv,0.9,0.82,0.71,0.94,1.07,0.9,0.8,0.68,1.0,0.79,0.97,0.7,1.02,0.84,0.07
liferea.csv,0.56,0.5,0.59,0.37,0.64,0.8,0.61,0.57,0.92,0.6,0.86,0.55,0.53,0.86,0.59
miranda-icq.csv,0.73,0.58,0.59,0.93,1.0,0.96,0.86,0.91,0.78,0.7,0.77,0.54,1.04,0.61,0.52
opensim4opencog.csv,0.37,0.51,0.57,0.42,0.61,0.6,0.8,0.51,0.81,0.78,0.73,0.62,0.41,0.56,0.62
pclasses.csv,0.23,0.64,0.86,0.93,0.98,0.41,0.9,0.59,1.0,0.94,0.96,1.0,0.73,0.75,0.94
pfaedit.csv,1.0,0.6,0.62,0.63,1.0,0.41,0.31,0.84,0.95,0.61,0.66,0.96,0.51,0.77,0.89
psrchive.csv,0.87,0.71,0.32,0.82,1.0,0.75,0.79,0.72,1.0,0.66,0.75,0.89,0.4,0.65,0.93
theresa.csv,0.86,0.51,0.48,0.62,0.9,0.26,0.43,0.79,1.0,0.65,0.63,0.71,0.55,0.61,0.74
thrust.csv,1.0,0.8,0.84,0.79,0.68,1.0,0.69,0.86,0.59,0.79,0.8,0.88,0.71,0.69,0.9
tktoolkit.csv,0.84,0.87,0.7,0.87,0.6,0.45,0.64,0.8,0.6,0.7,0.46,0.95,1.02,0.64,0.95
tzod.csv,0.84,0.48,0.59,0.59,0.34,0.22,0.57,0.63,0.84,0.57,0.85,0.68,0.35,0.6,0.65
yaprm.csv,0.63,0.64,0.63,0.92,1.0,0.42,0.71,0.68,0.67,0.49,0.68,0.85,0.46,0.56,0.85
