,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.09,0.0,0.12,0.17,0.42,0.09,0.0,0.09,0.01,0.33,0.29,0.22,0.2
ctrlr.csv,0.04,0.0,0.0,0.17,0.07,0.0,0.43,0.15,0.65,0.03,0.1,0.42,0.12
dvt.csv,0.41,0.13,0.38,0.53,0.37,0.0,0.48,0.11,0.91,0.26,0.38,0.26,0.16
flylinkdc.csv,0.51,0.15,0.13,0.39,0.34,0.23,0.31,0.57,0.0,0.36,0.36,0.45,0.26
free-evolution.csv,0.46,0.2,0.83,0.25,0.12,0.23,0.15,0.0,0.98,0.0,0.27,0.58,0.0
fulguro.csv,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.52,0.0,0.24,0.34,0.68,0.0
fw4spl.csv,0.1,0.02,0.02,0.0,0.0,0.14,0.06,0.36,0.01,0.28,0.05,0.06,0.0
ipfire-wall.csv,0.44,0.21,0.32,0.21,0.0,0.17,0.06,0.75,0.0,0.06,0.15,0.34,0.16
ldview.csv,0.41,0.14,0.55,0.38,0.59,0.26,0.08,0.46,0.79,0.27,0.37,0.67,0.25
nuttx.csv,0.43,0.14,0.89,0.44,0.55,0.24,0.44,0.42,0.98,0.25,0.37,0.65,0.2
uclmda.csv,0.29,0.1,0.46,0.19,0.35,0.2,0.31,0.22,0.99,0.2,0.3,0.57,0.15
vdsf.csv,0.31,0.0,0.02,0.15,0.38,0.0,0.2,0.43,0.0,0.0,0.15,0.0,0.19
xcf.csv,0.47,0.26,0.59,0.43,0.53,0.25,0.46,0.56,0.38,0.16,0.25,0.79,0.25
