,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.05,0.02,0.08,0.13,0.14,0.05,0.02,0.08,0.33,0.04,0.13,0.03,0.32
ctrlr.csv,0.12,0.0,0.0,0.02,0.16,0.0,0.14,0.19,0.33,0.26,0.05,0.2,0.06
dvt.csv,0.48,0.91,0.05,0.13,0.84,0.04,0.44,0.46,0.17,0.48,0.37,0.07,0.76
flylinkdc.csv,0.1,0.5,0.1,0.72,0.22,0.24,0.49,0.19,0.5,0.14,0.21,0.53,0.46
free-evolution.csv,0.79,0.42,0.74,0.15,0.3,0.14,0.05,0.0,0.5,0.04,0.05,0.33,0.0
fulguro.csv,0.0,0.0,0.31,0.0,0.0,0.01,0.0,0.14,0.0,0.81,0.71,1.0,0.0
fw4spl.csv,0.01,0.0,0.0,0.03,0.03,0.02,0.17,0.14,0.0,0.09,0.08,0.03,0.04
ipfire-wall.csv,0.09,0.22,0.38,0.1,0.03,0.11,0.24,0.19,0.0,0.04,0.05,0.07,0.29
ldview.csv,0.99,0.7,0.59,0.99,0.14,0.8,0.03,0.86,1.0,0.23,0.55,0.67,0.67
nuttx.csv,0.84,0.98,0.92,0.93,0.92,0.93,0.78,0.92,1.0,0.97,0.95,1.0,1.0
uclmda.csv,0.51,0.13,0.26,0.15,0.84,0.43,0.2,0.41,0.0,0.59,0.33,0.27,0.18
vdsf.csv,0.01,0.0,0.0,0.07,0.0,0.0,0.25,0.11,0.0,0.03,0.03,0.03,0.1
xcf.csv,0.69,0.3,0.41,0.34,0.57,0.26,0.37,0.76,1.0,0.46,0.27,0.3,0.75
