,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.03,0.4,0.01,0.1,1.0,0.08,0.27,0.86,0.13,0.02,0.4,0.18,0.0,0.33,0.38,0.09,0.43,0.33,0.3,0.32
blogentis.csv,0.02,0.32,0.01,0.1,0.78,0.1,0.41,0.83,0.03,0.03,0.34,0.16,0.04,0.2,0.24,0.08,0.34,0.57,0.29,0.22
free-evolution.csv,0.06,0.36,0.01,0.12,0.94,0.07,0.27,0.83,0.1,0.02,0.39,0.22,0.04,0.17,0.33,0.09,0.32,0.48,0.29,0.36
gtad.csv,0.12,0.47,0.01,0.1,1.0,0.17,0.31,1.0,0.06,0.05,0.61,0.33,0.33,0.22,0.53,0.18,0.53,0.74,0.53,0.33
htmlunit.csv,0.06,0.36,0.01,0.17,1.0,0.12,0.27,1.0,0.14,0.03,0.51,0.3,0.0,0.14,0.5,0.13,0.41,0.8,0.38,0.35
ipfire-wall.csv,0.17,0.33,0.02,0.0,0.94,0.05,0.26,1.0,0.05,0.0,0.24,0.38,0.1,0.19,0.62,0.11,0.5,0.29,0.0,0.23
irplus.csv,0.05,0.36,0.01,0.13,1.0,0.15,0.35,0.76,0.03,0.1,0.43,0.3,0.0,0.24,0.56,0.12,0.53,0.41,0.51,0.33
jasperreports.csv,0.03,0.37,0.01,0.14,0.8,0.08,0.46,0.89,0.15,0.06,0.32,0.2,0.07,0.18,0.4,0.3,0.32,0.55,0.29,0.21
jaxlib.csv,0.08,0.62,0.11,0.1,1.0,0.11,0.23,1.0,0.07,0.0,0.23,0.11,0.5,0.09,0.38,0.09,0.44,0.22,0.22,0.33
jvcl.csv,0.05,0.5,0.29,0.17,1.0,0.14,0.33,1.0,0.15,0.0,0.56,0.12,0.06,0.29,0.53,0.04,0.54,0.25,0.5,0.64
kaffeine.csv,0.03,0.41,0.0,0.1,0.98,0.1,0.3,0.87,0.05,0.03,0.39,0.18,0.04,0.2,0.34,0.08,0.4,0.33,0.24,0.27
m-m-m.csv,0.06,0.39,0.02,0.08,0.9,0.07,0.23,0.95,0.1,0.02,0.27,0.13,0.05,0.16,0.41,0.06,0.48,0.22,0.22,0.28
myfaces.csv,0.04,0.38,0.01,0.13,1.0,0.1,0.29,0.81,0.02,0.0,0.47,0.41,0.06,0.18,0.57,0.1,0.33,0.43,0.52,0.3
nh3d.csv,0.03,0.41,0.67,0.0,0.82,0.06,0.26,0.84,0.11,0.02,0.51,0.14,0.06,0.16,0.33,0.08,0.36,0.23,0.21,0.24
poormans.csv,0.0,0.43,0.01,0.13,0.88,0.31,0.43,0.79,0.09,0.33,0.56,0.29,0.04,0.21,0.0,0.19,0.44,0.86,0.53,0.5
sarasvati.csv,0.04,0.41,0.01,0.06,1.0,0.17,0.16,0.88,0.03,0.06,0.34,0.22,0.09,0.23,0.41,0.14,0.48,0.41,0.35,0.36
smartgwt.csv,0.04,0.36,0.01,0.24,1.0,0.07,0.29,0.81,0.11,0.06,0.31,0.21,0.07,0.17,0.44,0.06,0.5,0.53,0.3,0.31
taokgame.csv,0.09,0.0,0.0,0.12,1.0,0.02,0.23,1.0,0.53,0.0,0.43,0.1,0.0,0.14,0.4,0.09,0.31,0.21,0.35,0.54
wgs-assembler.csv,0.08,0.46,0.01,0.09,1.0,0.07,0.33,1.0,0.24,0.02,0.57,0.15,0.07,0.17,0.32,0.15,0.39,0.56,0.38,0.27
