,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.0,0.66,0.61,0.76,0.76,0.5,0.63,0.45,0.7,0.45,0.44,0.61,0.59
bdbbasic.csv,0.3,0.01,0.55,0.48,0.74,0.59,0.42,0.51,0.57,0.56,0.42,0.0,0.37
foursquared.csv,0.0,0.02,0.05,0.85,0.0,0.05,0.18,0.0,0.57,0.23,0.3,0.1,0.0
impala.csv,0.74,0.55,0.42,0.37,0.4,0.36,0.41,0.59,0.46,0.42,0.57,0.55,0.51
jicarilla.csv,0.85,0.01,0.18,0.0,0.0,0.06,0.04,0.0,0.1,0.18,0.0,0.0,0.06
ng4j.csv,0.11,0.51,0.68,0.76,0.7,0.59,0.65,0.23,0.71,0.52,0.61,0.54,0.8
open-data-kit.csv,0.21,0.54,0.46,0.0,0.0,0.78,0.65,0.4,0.6,0.39,0.66,0.57,0.65
pentahoanalysistool.csv,0.14,0.51,0.75,0.68,0.52,0.42,0.25,0.41,0.5,0.11,0.19,0.47,0.29
tradelink.csv,0.56,0.36,0.63,0.65,0.52,0.55,0.48,0.49,0.57,0.23,0.64,0.28,0.57
turbotrader-bos.csv,0.0,0.61,0.64,0.62,0.7,0.28,0.32,0.45,0.7,0.18,0.59,0.3,0.5
ultimairis.csv,0.24,0.6,0.73,0.71,0.63,0.65,0.61,0.5,0.73,0.67,0.6,0.64,0.66
wikipediardware.csv,0.21,0.39,0.61,0.33,0.69,0.43,0.17,0.05,0.38,0.2,0.44,0.76,0.56
yafdotnet.csv,0.33,0.59,0.68,0.43,0.47,0.6,0.7,0.45,0.62,0.58,0.49,0.13,0.59
