,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,1.02,0.52,0.65,0.52,0.48,0.6,0.6,0.75,0.45,0.71,0.74,0.65,0.67
bdbbasic.csv,0.92,0.99,0.79,0.85,0.36,0.75,0.86,0.72,0.71,0.75,0.65,1.0,0.81
foursquared.csv,1.0,0.98,0.96,0.27,1.0,0.96,0.85,1.0,0.5,0.81,0.74,0.92,1.0
impala.csv,0.4,0.67,0.78,0.73,0.74,0.82,0.81,0.52,0.75,0.88,0.77,0.59,0.8
jicarilla.csv,0.27,0.99,0.88,1.0,1.0,0.97,0.97,1.0,0.95,0.91,1.0,1.0,0.97
ng4j.csv,1.01,0.6,0.62,0.59,0.38,0.48,0.58,0.87,0.59,0.8,0.6,0.54,0.3
open-data-kit.csv,0.97,0.59,0.85,1.0,1.0,0.3,0.72,0.84,0.75,0.89,0.59,0.57,0.68
pentahoanalysistool.csv,0.9,0.62,0.34,0.44,0.55,0.65,0.8,0.8,0.65,0.92,0.87,0.84,0.76
tradelink.csv,0.65,0.71,0.71,0.67,0.53,0.73,0.76,0.81,0.77,0.81,0.49,0.77,0.55
turbotrader-bos.csv,1.01,0.57,0.58,0.45,0.38,0.77,0.72,0.76,0.4,0.85,0.56,0.75,0.57
ultimairis.csv,0.96,0.73,0.59,0.64,0.51,0.44,0.59,0.73,0.53,0.41,0.62,0.72,0.44
wikipediardware.csv,0.95,0.88,0.74,0.91,0.68,0.87,0.96,0.99,0.89,0.96,0.87,0.3,0.79
yafdotnet.csv,0.85,0.56,0.61,0.87,0.59,0.69,0.39,0.86,0.71,0.71,0.67,0.89,0.67
