,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.68,0.54,0.66,0.5,0.43,0.42,0.38,0.64,0.56,0.53,0.36,0.43
autowikibrowser.csv,0.49,0.55,0.59,0.69,0.46,0.68,0.49,0.65,0.42,0.39,0.42,0.56
cities3d.csv,1.0,0.72,0.82,0.73,0.8,0.43,0.41,1.0,0.77,0.53,0.65,1.0
firebird.csv,0.64,0.59,0.54,0.51,0.5,0.55,0.42,0.81,0.82,0.6,0.46,0.87
hydrogen.csv,0.8,1.0,1.0,1.0,1.0,1.0,0.27,1.0,1.0,1.0,1.0,0.75
lphant.csv,0.49,0.49,0.61,0.56,0.48,0.46,0.46,0.69,0.35,0.45,0.41,0.45
qgo.csv,0.86,0.16,0.84,0.52,0.54,0.9,0.45,0.7,0.97,0.83,0.79,0.41
quickfast.csv,0.77,0.57,0.75,0.67,0.81,0.8,0.42,0.71,0.85,0.94,0.54,0.37
rhex.csv,0.31,0.67,0.7,0.77,0.75,0.65,0.54,0.83,0.95,0.82,0.55,0.63
rocrail.csv,0.45,0.46,0.58,0.89,0.49,0.61,0.38,0.62,0.77,0.47,0.3,0.61
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,1.0,1.0,1.0,1.0
yield.csv,0.7,0.59,0.55,0.86,0.3,0.98,0.53,0.86,0.64,0.5,0.61,0.51
