,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.52,0.4,0.63,0.63,0.72,0.71,0.7,0.69,0.64,0.74,0.7
autowikibrowser.csv,0.71,0.66,0.61,0.64,0.68,0.6,0.59,0.57,0.69,0.7,0.82,0.72
cities3d.csv,0.0,0.59,0.23,0.56,0.25,0.69,0.7,0.0,0.31,0.54,0.71,0.0
firebird.csv,0.46,0.59,0.58,0.68,0.56,0.73,0.7,0.54,0.5,0.71,0.7,0.45
hydrogen.csv,0.56,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.58
lphant.csv,0.71,0.62,0.56,0.58,0.69,0.68,0.64,0.43,0.71,0.78,0.85,0.63
qgo.csv,0.45,0.92,0.48,0.66,0.59,0.35,0.72,0.62,0.13,0.5,0.57,0.84
quickfast.csv,0.54,0.64,0.57,0.41,0.23,0.52,0.73,0.43,0.45,0.26,0.68,0.76
rhex.csv,0.87,0.63,0.45,0.5,0.34,0.56,0.54,0.24,0.06,0.45,0.6,0.5
rocrail.csv,0.67,0.63,0.55,0.37,0.62,0.65,0.71,0.52,0.57,0.63,0.83,0.47
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0
yield.csv,0.54,0.68,0.68,0.44,0.78,0.13,0.76,0.45,0.7,0.66,0.74,0.72
