,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.47,0.35,0.62,0.59,0.73,0.69,0.9,0.77,0.66,0.73,0.7
autowikibrowser.csv,0.75,0.7,0.63,0.85,0.68,0.7,0.56,0.6,0.68,0.68,0.91,0.83
cities3d.csv,0.0,0.77,0.19,0.67,0.21,0.68,0.69,0.0,0.27,0.5,0.95,0.0
firebird.csv,0.42,0.6,0.56,0.71,0.51,0.86,0.69,1.0,0.77,0.84,0.73,0.81
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.0,1.0,1.0,1.0,0.79
lphant.csv,0.75,0.6,0.55,0.57,0.71,0.68,0.62,0.4,0.68,0.86,0.95,0.6
qgo.csv,0.92,0.93,0.87,0.69,0.57,0.95,0.75,0.8,0.95,0.98,1.0,0.94
quickfast.csv,0.67,0.67,0.75,0.37,0.19,0.73,0.75,0.4,0.91,0.86,0.73,0.77
rhex.csv,0.92,0.77,0.42,0.55,0.3,0.57,0.5,0.2,0.05,0.48,0.59,0.47
rocrail.csv,0.67,0.6,0.52,0.92,0.6,0.73,0.69,0.5,0.86,0.61,0.86,0.43
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
yield.csv,0.58,0.77,0.74,0.92,0.78,0.97,0.88,1.0,0.91,0.68,0.95,0.79
