,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.29,0.61,0.48,0.56,0.69,0.28,0.45,0.39,0.61,0.61,0.56,0.73
autowikibrowser.csv,0.33,0.63,0.61,0.55,0.67,0.17,0.38,0.32,0.65,0.7,0.53,0.76
cities3d.csv,0.0,0.6,0.29,0.47,0.31,0.29,0.42,0.0,0.33,0.59,0.44,0.0
firebird.csv,0.26,0.57,0.61,0.58,0.63,0.23,0.4,0.36,0.52,0.66,0.47,0.68
hydrogen.csv,0.27,0.63,0.69,0.53,0.65,0.16,0.54,0.0,0.57,0.62,0.35,0.69
lphant.csv,0.33,0.62,0.57,0.51,0.67,0.26,0.38,0.28,0.71,0.72,0.55,0.69
qgo.csv,0.24,0.89,0.66,0.56,0.6,0.16,0.37,0.34,0.56,0.65,0.41,0.85
quickfast.csv,0.21,0.61,0.62,0.41,0.3,0.15,0.39,0.27,0.57,0.58,0.43,0.78
rhex.csv,0.47,0.61,0.47,0.41,0.38,0.17,0.36,0.19,0.09,0.42,0.41,0.55
rocrail.csv,0.36,0.64,0.57,0.53,0.63,0.19,0.46,0.32,0.58,0.64,0.61,0.54
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
yield.csv,0.22,0.64,0.68,0.53,0.78,0.16,0.35,0.35,0.63,0.63,0.46,0.75
