,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.85,0.58,0.47,0.58,0.57,0.44,0.57,0.53,0.47,0.92,0.71
gabel.csv,0.67,0.5,0.4,0.55,0.59,0.62,0.48,0.85,0.5,0.81,0.86
javaprofiler.csv,0.39,0.47,0.41,0.38,0.45,0.36,0.47,0.44,0.56,0.41,0.56
jmoney.csv,0.38,0.34,0.41,0.36,0.52,0.5,0.42,0.43,0.83,0.33,0.63
mycila.csv,0.37,0.41,0.59,0.38,0.44,0.65,0.62,0.4,0.59,0.4,0.59
neodatis-odb.csv,0.36,0.67,0.71,0.43,0.54,0.68,0.87,0.48,0.85,0.41,0.5
servicestack.csv,0.0,0.92,0.92,0.0,0.0,0.75,0.67,0.89,0.63,0.0,0.0
sqlpower-library.csv,0.37,0.52,0.57,0.4,0.52,0.44,0.43,0.44,0.48,0.43,0.5
synecdoche.csv,0.48,0.34,0.46,0.37,0.44,0.73,0.57,0.43,0.54,0.57,0.75
tmva.csv,0.39,0.37,0.41,0.5,0.44,0.38,0.5,0.4,0.4,0.53,0.51
unicase.csv,0.33,0.38,0.42,0.45,0.5,0.42,0.47,0.44,0.54,0.41,0.4
