,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.55,0.47,0.36,0.48,0.42,0.44,0.34,0.41,0.36,0.32
firebird.csv,0.44,0.38,0.37,0.44,0.39,0.38,0.38,0.39,0.36,0.3
fmri-dmt.csv,0.7,0.56,0.4,0.63,0.44,0.75,0.78,0.41,0.98,0.8
htmlunit.csv,0.36,0.37,0.57,0.45,0.38,0.49,0.35,0.4,0.37,0.41
monetdb.csv,0.41,0.43,0.95,0.6,0.95,0.74,0.48,0.46,0.44,0.9
ontomorphtab.csv,0.35,0.4,0.39,0.42,0.38,0.31,0.35,0.37,0.31,0.29
smarttag.csv,0.38,0.41,0.43,0.43,0.43,0.38,0.36,0.45,0.44,0.28
taokgame.csv,0.88,0.87,0.94,0.66,0.79,0.95,0.69,0.67,0.95,0.75
webdriver.csv,0.4,0.49,0.96,0.49,0.55,0.56,0.5,0.5,0.44,0.69
xbplayer.csv,0.48,0.34,0.47,0.42,0.51,0.45,0.4,0.39,0.59,0.48
