,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.76,0.69,0.82,0.99,0.96,0.55,1.01,0.92,0.85,0.73,0.71,0.95,1.01,0.76
calcubetimer.csv,0.47,0.76,0.95,0.68,0.94,0.78,0.11,0.7,0.85,1.0,0.82,0.79,0.77,0.79
chaosrts.csv,0.67,0.77,0.84,0.83,0.63,0.86,0.73,0.77,0.61,0.77,0.85,0.3,1.0,0.86
chaperon.csv,0.65,0.88,0.54,0.73,0.62,0.08,0.99,0.99,0.58,0.5,0.91,0.89,0.83,0.62
dxengine.csv,0.54,0.91,0.34,0.41,0.94,0.58,1.09,0.53,0.86,1.01,0.71,0.93,0.5,0.72
emono.csv,0.7,0.86,0.77,0.97,0.83,0.69,1.0,0.93,0.71,0.79,0.85,0.96,0.76,0.55
factor.csv,1.0,0.79,0.83,0.96,0.95,1.0,0.61,1.0,0.84,1.0,0.97,1.0,0.19,0.98
jas.csv,1.02,0.76,0.59,0.57,0.66,0.81,1.27,0.89,0.68,0.15,0.87,0.8,0.74,0.92
jmoney.csv,0.19,0.77,0.66,0.95,0.62,0.55,0.36,0.78,0.67,0.73,0.83,0.44,0.91,0.86
jmonkeyengine.csv,1.05,0.92,0.77,0.67,0.54,0.83,1.05,1.0,0.88,1.01,0.82,0.7,0.61,0.99
matrex.csv,0.37,0.71,0.7,0.38,0.95,0.75,0.73,0.23,0.85,0.63,0.95,0.83,0.73,0.87
primefaces.csv,0.78,0.85,0.96,0.6,0.94,0.56,0.83,0.52,0.85,0.8,0.28,0.9,0.92,1.0
roolo.csv,0.75,0.58,0.58,0.93,0.85,0.79,0.58,0.84,0.35,0.95,0.84,0.95,1.02,0.78
sblim.csv,0.68,1.0,0.85,0.27,0.79,0.75,0.89,0.97,0.93,1.0,0.97,0.87,0.96,0.78
