,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.51,0.42,0.41,0.28,0.17,0.54,0.0,0.4,0.33,0.65,0.6,0.21,0.02,0.37
calcubetimer.csv,0.79,0.45,0.28,0.7,0.24,0.29,0.91,0.35,0.37,0.0,0.29,0.3,0.5,0.5
chaosrts.csv,0.47,0.35,0.46,0.3,0.58,0.28,0.47,0.41,0.56,0.41,0.18,0.77,0.06,0.33
chaperon.csv,0.48,0.15,0.58,0.36,0.52,0.98,0.33,0.01,0.62,0.63,0.12,0.18,0.3,0.53
dxengine.csv,0.54,0.14,0.77,0.74,0.07,0.67,0.05,0.62,0.23,0.0,0.52,0.11,0.75,0.35
emono.csv,0.53,0.45,0.47,0.36,0.48,0.61,0.0,0.29,0.58,0.55,0.47,0.2,0.57,0.64
factor.csv,0.0,0.29,0.22,0.06,0.07,0.0,0.61,0.0,0.23,0.0,0.02,0.0,0.91,0.02
jas.csv,0.17,0.41,0.71,0.67,0.43,0.52,0.0,0.18,0.47,0.97,0.31,0.24,0.62,0.38
jmoney.csv,0.86,0.45,0.66,0.21,0.62,0.54,0.69,0.26,0.57,0.41,0.21,0.69,0.18,0.46
jmonkeyengine.csv,0.17,0.39,0.59,0.67,0.58,0.5,0.27,0.29,0.44,0.31,0.52,0.55,0.75,0.09
matrex.csv,0.71,0.35,0.35,0.7,0.07,0.29,0.32,0.83,0.18,0.43,0.06,0.47,0.36,0.17
primefaces.csv,0.57,0.47,0.17,0.71,0.24,0.68,0.49,0.77,0.47,0.51,0.81,0.37,0.32,0.0
roolo.csv,0.57,0.64,0.61,0.4,0.47,0.54,0.65,0.47,0.72,0.21,0.49,0.21,0.17,0.55
sblim.csv,0.39,0.0,0.18,0.78,0.26,0.29,0.13,0.04,0.12,0.0,0.02,0.17,0.06,0.51
