,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.82,0.25,0.64,0.08,0.76,0.23,0.0,0.33,0.86,0.89,0.28,0.21,0.47,0.29,0.11,0.28,0.57
blue-c.csv,0.25,0.26,0.41,0.04,0.18,0.27,0.6,0.62,0.27,0.22,0.29,0.0,0.57,0.4,0.16,0.47,0.22
factor.csv,0.01,0.01,0.19,0.0,0.05,0.08,0.12,0.49,0.19,0.04,0.01,0.21,0.01,0.0,0.1,0.25,0.0
fltk.csv,0.12,0.06,0.28,0.0,0.06,0.08,0.59,0.46,0.12,0.09,0.16,0.21,0.01,0.22,0.07,0.16,0.09
free-evolution.csv,0.14,0.43,0.38,0.16,0.05,0.05,0.41,0.26,0.2,0.49,0.23,0.17,0.13,0.4,0.01,0.16,0.17
icescrum.csv,0.05,0.19,0.22,0.0,0.12,0.23,0.09,0.18,0.22,0.38,0.14,0.08,0.13,0.16,0.07,0.0,0.04
jbasic.csv,0.2,0.38,0.43,0.0,0.21,0.03,0.28,0.33,0.54,0.47,0.13,0.17,0.19,0.04,0.14,0.19,0.09
kvs.csv,0.0,0.15,0.19,0.0,0.14,0.08,0.09,0.05,0.08,0.27,0.12,0.0,0.2,0.09,0.09,0.22,0.17
monetdb.csv,0.09,0.13,0.3,0.04,0.03,0.11,0.43,0.23,0.08,0.22,0.02,0.04,0.07,0.27,0.12,0.09,0.26
phet.csv,0.96,0.86,0.0,1.0,0.79,0.85,0.71,0.26,0.98,0.89,0.99,0.88,1.0,0.76,0.95,0.72,0.87
projecteqemu.csv,0.08,0.17,0.17,0.04,0.0,0.08,0.21,0.15,0.22,0.04,0.22,0.04,0.06,0.02,0.15,0.16,0.09
repositorium.csv,0.16,0.44,0.89,0.4,0.7,0.14,0.72,0.64,0.41,0.6,0.16,0.58,0.01,0.44,0.26,0.66,0.74
smarttag.csv,0.07,0.21,0.38,0.08,0.15,0.23,0.31,0.0,0.15,0.04,0.29,0.42,0.07,0.04,0.17,0.34,0.17
sumatrapdf.csv,0.37,0.73,0.46,0.52,0.15,0.26,0.79,0.51,0.54,0.0,0.38,0.46,0.43,0.73,0.44,0.53,0.26
voms.csv,0.42,0.36,0.06,0.08,0.0,0.17,0.12,0.0,0.54,0.27,0.46,0.21,0.26,0.27,0.08,0.19,0.35
vrjuggler.csv,0.01,0.15,0.17,0.0,0.21,0.14,0.16,0.03,0.02,0.07,0.24,0.08,0.45,0.16,0.15,0.16,0.39
wheat.csv,0.0,0.63,0.55,0.16,0.61,0.0,0.57,0.44,0.76,0.76,0.71,0.0,0.76,0.56,0.48,0.56,0.87
