,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.34,0.2,0.23,0.17,0.21,0.62,0.98,0.2,0.37,0.46,0.24,0.31,0.21,0.19,0.04,0.44,0.77
blue-c.csv,0.14,0.64,0.17,0.98,0.09,0.51,0.54,0.31,0.17,0.49,0.54,0.3,0.12,0.71,0.39,0.58,0.49
factor.csv,0.0,0.11,0.05,0.5,0.15,0.19,0.27,0.43,0.07,0.57,0.04,0.22,0.0,0.11,0.13,0.5,0.99
fltk.csv,0.24,0.93,0.07,0.33,0.14,0.36,0.16,0.32,0.16,0.59,0.41,0.43,0.29,0.54,0.43,0.55,0.46
free-evolution.csv,0.18,0.63,0.1,0.3,0.15,0.24,0.22,0.34,0.25,0.53,0.23,0.17,0.09,0.63,0.89,0.45,0.3
icescrum.csv,0.15,0.33,0.05,0.29,0.11,0.62,0.24,0.32,0.07,0.45,0.39,0.24,0.0,0.46,0.22,0.94,0.21
jbasic.csv,0.33,0.45,0.25,0.12,0.16,0.93,0.33,0.31,0.19,0.61,0.21,0.12,0.07,0.23,0.29,0.39,0.31
kvs.csv,0.97,0.17,0.17,0.06,0.2,0.32,0.12,0.12,0.38,0.23,0.24,0.13,0.13,0.33,0.17,0.42,0.12
monetdb.csv,0.14,0.32,0.12,0.49,0.31,0.37,0.28,0.23,0.09,0.44,0.95,0.29,0.38,0.63,0.39,0.48,0.58
phet.csv,0.32,0.68,0.99,0.71,0.21,0.5,0.39,0.22,0.34,0.33,0.48,0.64,0.19,0.37,0.34,0.44,0.78
projecteqemu.csv,0.27,0.45,0.09,0.32,0.0,0.21,0.15,0.4,0.07,0.47,0.38,0.13,0.12,0.97,0.31,0.5,0.44
repositorium.csv,0.36,0.51,0.38,0.14,0.2,0.47,0.32,0.41,0.26,0.36,0.3,0.5,0.91,0.28,0.26,0.49,0.37
smarttag.csv,0.28,0.48,0.21,0.36,0.19,0.41,0.28,0.96,0.0,0.17,0.29,0.31,0.11,0.59,0.15,0.64,0.47
sumatrapdf.csv,0.4,0.69,0.15,0.52,0.27,0.53,0.39,0.34,0.19,0.97,0.62,0.41,0.22,0.65,0.42,0.62,0.69
voms.csv,0.35,0.48,0.16,0.17,0.94,0.39,0.22,0.0,0.37,0.36,0.4,0.26,0.22,0.48,0.05,0.44,0.08
vrjuggler.csv,0.0,0.28,0.2,0.29,0.08,0.33,0.16,0.0,0.87,0.11,0.39,0.24,0.04,0.44,0.22,0.4,0.55
wheat.csv,0.0,0.68,0.3,0.67,0.22,0.0,0.51,0.37,0.35,0.45,0.47,0.96,0.17,0.63,0.29,0.46,0.64
