,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.61,0.61,0.72,0.81,0.76,0.8,0.73,0.83,0.48,0.63,0.69,0.67,0.09,0.64,0.09,0.57,0.53,0.67
dspace-gsoc.csv,0.65,0.62,0.62,0.55,0.74,0.85,0.68,0.74,0.24,0.76,0.79,0.57,0.03,0.16,0.07,0.34,0.34,0.9
fbmanager.csv,0.0,0.0,0.73,0.3,0.07,0.22,0.29,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
fido.csv,0.0,0.17,0.0,0.19,0.1,0.23,0.0,0.5,0.0,0.03,0.05,0.0,0.0,0.02,0.38,0.0,0.02,0.13
freenet.csv,0.51,0.7,0.59,0.85,0.75,0.71,0.66,0.85,0.24,0.7,0.7,0.7,0.08,0.37,0.1,0.44,0.4,0.97
geogebra.csv,0.51,0.49,0.61,0.65,0.69,0.51,0.57,0.51,0.46,0.56,0.63,0.73,0.11,0.51,0.04,0.54,0.52,0.64
google-caja.csv,0.66,0.73,0.71,0.77,0.73,0.83,0.69,0.86,0.25,0.71,0.77,0.75,0.08,0.49,0.07,0.43,0.43,0.96
itext.csv,0.66,0.75,0.73,0.76,0.74,0.87,0.68,0.85,0.25,0.67,0.77,0.75,0.08,0.39,0.09,0.44,0.42,0.93
k3b.csv,0.68,0.66,0.69,0.77,0.71,0.73,0.66,0.79,0.17,0.73,0.74,0.71,0.13,0.38,0.08,0.36,0.36,0.85
megameknet.csv,0.58,0.77,0.73,0.76,0.76,0.53,0.63,0.82,0.24,0.72,0.68,0.7,0.09,0.5,0.04,0.53,0.39,0.95
myfaces.csv,0.63,0.49,0.49,0.78,0.6,0.67,0.5,0.44,0.48,0.57,0.48,0.41,0.1,0.54,0.14,0.58,0.51,0.64
onotoa.csv,0.41,0.44,0.33,0.67,0.51,0.8,0.47,0.42,0.18,0.57,0.73,0.38,0.02,0.18,0.05,0.33,0.25,0.7
paintown.csv,0.74,0.66,0.7,0.83,0.72,0.76,0.62,0.79,0.24,0.61,0.73,0.55,0.07,0.36,0.08,0.38,0.35,0.72
powerfolder.csv,0.54,0.3,0.61,0.64,0.41,0.6,0.42,0.23,0.28,0.67,0.47,0.2,0.48,0.39,0.1,0.32,0.32,0.27
smartgwt.csv,0.58,0.6,0.7,0.5,0.46,0.62,0.2,0.81,0.35,0.65,0.62,0.19,0.36,0.63,0.09,0.29,0.35,0.6
sqlpower-library.csv,0.61,0.73,0.7,0.78,0.78,0.52,0.67,0.81,0.32,0.81,0.58,0.69,0.09,0.25,0.06,0.36,0.4,0.95
triplea.csv,0.62,0.75,0.65,0.76,0.73,0.71,0.57,0.81,0.24,0.75,0.66,0.53,0.12,0.5,0.04,0.46,0.44,0.84
