,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.45,0.43,0.92,0.78,0.5,0.94,0.38
amateur-scrolls.csv,0.29,0.2,0.18,0.12,0.95,0.22,0.18
arcallians.csv,0.77,1.0,0.5,0.46,0.8,0.53,0.49
gebr.csv,0.96,0.86,0.68,0.98,0.95,0.94,0.91
jfreereport.csv,0.89,0.27,0.38,0.21,0.2,0.11,0.03
kml.csv,0.65,0.34,0.7,0.51,0.75,0.97,0.49
multitude.csv,0.53,0.57,0.45,0.54,0.65,0.86,1.0
