,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.87,0.67,0.55,0.86,0.82,0.17,1.0,0.83,0.9,0.86,0.89,1.02,0.85,0.57
cme.csv,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,0.91,1.0,0.91,0.02
hydrate.csv,0.58,0.55,0.76,0.92,0.76,1.09,0.96,0.66,0.72,0.66,0.82,0.64,0.45,0.64,0.38
ivef-sdk.csv,0.76,0.52,0.61,0.7,0.79,0.0,0.98,0.95,0.8,0.79,0.63,0.83,0.99,1.0,0.65
jmri.csv,0.61,0.75,0.5,0.9,0.96,0.45,0.77,0.51,0.68,0.74,0.71,0.86,0.8,0.79,0.85
jython.csv,0.73,0.73,0.61,0.9,0.93,0.8,0.97,0.24,0.67,0.72,0.58,0.83,0.91,0.84,0.96
kdenlive.csv,0.44,0.61,0.61,0.99,0.67,1.04,0.83,0.99,0.59,0.66,0.89,0.62,0.66,0.69,0.69
ninject.csv,0.95,0.93,0.7,0.94,0.85,1.02,0.51,1.14,0.93,0.93,0.9,0.5,0.15,0.58,0.91
ondex.csv,0.6,0.72,0.56,0.83,0.89,0.73,0.79,0.29,0.77,0.85,0.49,0.95,0.61,0.82,0.82
opentibia.csv,0.77,0.3,0.67,0.81,0.7,0.99,0.73,0.58,0.97,1.0,0.75,0.92,0.61,0.72,1.02
projectfactory.csv,0.64,0.63,0.65,0.92,0.57,0.95,0.61,1.0,0.59,0.53,0.57,0.68,0.44,0.56,0.63
taverna.csv,0.79,0.85,0.91,0.9,0.43,0.91,0.53,1.05,0.87,0.71,0.72,0.72,1.01,0.97,1.02
tigermud.csv,0.94,0.86,0.77,1.01,0.54,1.0,1.0,0.82,1.0,0.93,0.74,0.46,0.44,0.77,1.04
unbvision.csv,0.47,0.67,0.67,0.87,0.84,1.24,0.88,0.28,0.42,0.75,0.71,0.87,0.45,0.61,0.92
x-ray-mule.csv,0.8,0.78,0.83,0.28,0.78,0.99,1.06,0.91,0.83,0.81,0.69,0.69,0.91,0.91,0.64
