,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.37,0.62,0.37,0.48,0.43
chaperon.csv,0.98,0.9,0.86,0.75,0.89
mule.csv,0.46,0.92,0.64,0.83,0.43
springside.csv,0.36,0.6,0.55,0.5,0.4
swtfox.csv,0.57,0.66,0.7,0.73,0.83
