,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.84,0.47,0.72,0.5,1.0
chaperon.csv,0.19,0.12,0.25,1.0,0.16
mule.csv,0.98,0.12,0.35,0.0,0.41
springside.csv,0.78,0.94,0.38,1.0,0.43
swtfox.csv,0.52,0.55,1.0,0.5,0.3
