,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.8,0.71,0.77,0.05,0.67,0.81,0.72,0.58,0.62,0.7,0.72,0.76,0.9,0.66,0.7
aufs.csv,0.54,0.76,0.91,0.94,0.67,0.54,0.8,0.46,0.03,0.88,0.72,0.63,0.91,0.72,0.76
bulmages.csv,0.97,0.91,0.89,0.76,0.9,0.94,0.96,1.0,1.0,0.0,0.72,1.0,0.67,1.0,1.0
coot.csv,0.72,0.85,0.59,0.72,0.66,0.74,0.67,0.69,0.7,0.67,0.65,0.79,0.03,0.71,0.68
emono.csv,0.7,0.91,0.69,0.81,0.79,0.94,0.74,0.62,0.94,0.76,0.74,0.86,0.68,0.64,0.04
extprosys.csv,0.94,0.09,0.98,0.79,0.95,0.86,0.93,0.9,0.69,0.92,0.77,0.77,0.88,0.7,0.7
freelords.csv,0.75,0.89,0.62,0.6,0.78,0.75,0.04,0.85,0.76,0.7,0.77,0.76,0.7,0.7,0.95
jnode.csv,0.76,0.92,0.71,0.74,0.97,0.06,0.9,1.0,1.0,0.76,1.0,0.91,0.61,1.0,1.0
jruby.csv,0.71,0.96,0.84,0.82,0.58,0.68,0.6,0.59,0.8,0.94,0.89,0.88,0.98,0.05,0.61
jsecurity.csv,0.68,0.89,0.83,0.77,0.1,0.66,0.78,0.8,0.7,0.59,0.79,0.9,0.59,0.78,0.71
matrex.csv,0.7,1.0,0.93,0.91,0.85,0.54,0.82,0.72,0.53,1.0,0.04,0.68,0.98,0.84,1.0
officefloor.csv,1.0,0.88,0.71,0.56,0.95,1.0,0.85,0.18,0.95,0.82,0.89,0.9,0.79,0.88,0.93
projectfactory.csv,0.77,0.82,0.77,0.93,0.66,0.59,0.73,0.46,1.0,1.0,0.79,0.0,0.89,0.82,0.8
taverna.csv,0.97,0.96,0.04,0.93,0.9,0.91,0.73,0.91,1.0,1.0,0.89,0.71,0.95,0.82,0.95
vxl.csv,0.16,0.96,0.66,1.0,1.0,1.01,0.88,0.88,0.85,0.83,0.91,0.7,0.71,0.77,0.91
