,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.27,0.45,0.44,0.95,0.38,0.31,0.33,0.66,0.73,0.71,0.42,0.46,0.38,0.67,0.46
aufs.csv,0.57,0.25,0.19,0.07,0.33,0.56,0.2,0.66,0.97,0.14,0.32,0.44,0.1,0.33,0.29
bulmages.csv,0.03,0.11,0.11,0.43,0.1,0.06,0.05,0.0,0.0,1.0,0.29,0.0,0.35,0.0,0.0
coot.csv,0.3,0.19,0.44,0.36,0.38,0.38,0.38,0.37,0.35,0.38,0.45,0.23,0.98,0.37,0.39
emono.csv,0.57,0.57,0.56,0.77,0.62,0.12,0.49,0.53,0.7,0.71,0.63,0.79,0.55,0.52,0.96
extprosys.csv,0.89,0.91,0.93,0.86,0.85,0.88,0.91,0.68,0.81,0.38,0.82,0.74,0.35,0.84,0.4
freelords.csv,0.49,0.85,0.85,0.77,0.79,0.56,0.97,0.95,0.84,0.57,0.81,0.51,0.68,0.83,0.8
jnode.csv,0.3,0.11,0.52,0.3,0.03,0.94,0.13,0.0,0.0,0.24,0.0,0.13,0.5,0.0,0.0
jruby.csv,0.59,0.04,0.22,0.23,0.62,0.75,0.52,0.76,0.81,0.1,0.14,0.82,0.02,1.0,0.48
jsecurity.csv,0.35,0.11,0.19,0.41,0.9,0.38,0.27,0.21,0.49,0.48,0.22,0.1,0.62,0.24,0.32
matrex.csv,0.41,0.0,0.07,0.18,0.15,0.5,0.18,0.29,0.49,0.0,0.96,0.44,0.02,0.17,0.01
officefloor.csv,0.0,0.87,0.52,0.75,0.05,0.0,0.2,0.82,1.0,0.86,0.51,0.74,0.9,0.76,0.99
projectfactory.csv,0.41,0.19,0.26,0.07,0.41,0.69,0.32,0.68,1.0,0.0,0.27,1.0,0.12,0.54,0.24
taverna.csv,0.03,0.04,0.96,0.07,0.13,0.12,0.28,0.11,0.0,0.0,0.12,0.46,0.05,0.18,0.05
vxl.csv,0.84,0.04,0.67,0.93,0.0,0.0,0.61,0.13,0.62,0.24,0.14,0.44,0.65,0.28,0.36
