,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.24,0.35,0.36,0.98,0.3,0.05,0.46,0.07,0.5,0.34,0.46,0.45,0.38,0.77,0.54
aufs.csv,0.45,0.33,0.19,0.12,0.38,0.12,0.33,0.1,0.99,0.15,0.41,0.5,0.17,0.49,0.4
bulmages.csv,0.05,0.13,0.17,0.53,0.14,0.04,0.09,0.0,0.0,1.0,0.42,0.0,0.47,0.0,0.0
coot.csv,0.33,0.21,0.48,0.48,0.32,0.07,0.52,0.07,0.37,0.32,0.5,0.32,0.99,0.52,0.5
emono.csv,0.35,0.32,0.43,0.74,0.27,0.03,0.59,0.07,0.39,0.33,0.55,0.58,0.54,0.65,0.98
extprosys.csv,0.37,0.94,0.48,0.79,0.29,0.08,0.81,0.04,0.5,0.19,0.63,0.59,0.37,0.87,0.5
freelords.csv,0.31,0.42,0.56,0.77,0.31,0.07,0.98,0.06,0.49,0.31,0.63,0.48,0.6,0.86,0.7
jnode.csv,0.28,0.13,0.41,0.43,0.05,0.97,0.21,0.0,0.0,0.32,0.0,0.18,0.55,0.0,0.0
jruby.csv,0.35,0.07,0.24,0.34,0.35,0.09,0.63,0.07,0.47,0.09,0.2,0.59,0.05,1.0,0.58
jsecurity.csv,0.35,0.17,0.25,0.51,0.93,0.12,0.39,0.09,0.39,0.38,0.32,0.17,0.61,0.38,0.45
matrex.csv,0.32,0.0,0.12,0.27,0.2,0.15,0.3,0.12,0.56,0.0,0.98,0.47,0.05,0.28,0.02
officefloor.csv,0.0,0.43,0.41,0.77,0.08,0.0,0.31,0.85,0.49,0.35,0.45,0.55,0.69,0.81,0.8
projectfactory.csv,0.28,0.27,0.3,0.12,0.31,0.1,0.45,0.1,0.48,0.0,0.34,1.0,0.2,0.66,0.35
taverna.csv,0.05,0.06,0.96,0.12,0.12,0.03,0.43,0.03,0.0,0.0,0.19,0.47,0.09,0.31,0.09
vxl.csv,0.91,0.07,0.48,0.8,0.0,0.0,0.64,0.05,0.38,0.19,0.19,0.46,0.58,0.42,0.43
