,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.83,0.0,0.57,0.67,0.38,0.47,0.8,0.72,0.67,0.0,0.67,0.71,0.92,0.3,0.69,0.0,0.8
codeblocks.csv,0.38,0.4,0.79,0.65,0.58,0.33,0.35,0.46,0.57,0.37,0.37,0.48,0.44,0.5,0.42,0.71,0.66
grisbi.csv,0.4,0.43,0.37,0.31,0.5,0.36,0.29,0.49,0.48,0.34,0.35,0.51,0.45,0.32,0.35,0.46,0.47
libmesh.csv,0.86,0.97,0.58,0.93,0.85,0.92,0.76,0.71,0.69,0.37,0.6,0.79,0.77,0.94,0.88,0.97,0.98
panda3d.csv,0.91,0.51,0.53,0.59,0.92,0.5,0.46,0.99,0.62,0.45,0.42,0.64,0.55,0.35,0.72,0.97,0.98
proftp.csv,0.92,0.61,0.53,0.67,0.78,0.38,0.55,0.82,0.73,0.0,0.92,0.5,0.5,0.69,0.62,0.89,0.94
red5.csv,0.36,0.43,0.37,0.41,0.49,0.39,0.49,0.42,0.63,0.35,0.36,0.49,0.41,0.41,0.38,0.45,0.47
skia.csv,0.67,0.62,0.33,0.48,0.46,0.36,0.36,0.56,0.35,0.5,0.56,0.42,0.83,0.7,0.5,0.4,0.5
soar.csv,0.39,0.41,0.4,0.33,0.44,0.4,0.35,0.47,0.49,0.36,0.35,0.45,0.44,0.69,0.36,0.45,0.48
super-tux.csv,0.46,0.45,0.36,0.45,0.61,0.43,0.48,0.43,0.64,0.36,0.44,0.54,0.43,0.5,0.38,0.45,0.42
t-2.csv,0.64,0.44,0.65,0.92,0.5,0.89,0.37,0.76,0.95,0.36,0.42,0.66,0.45,0.43,0.56,0.63,0.73
tart.csv,0.78,0.94,0.43,0.53,0.43,0.32,0.29,0.72,0.38,0.37,0.6,0.59,0.51,0.36,0.47,0.5,0.59
tcvp.csv,0.75,0.95,0.0,0.5,0.0,0.0,0.0,0.91,0.0,0.84,0.92,0.75,0.0,0.0,0.9,0.8,0.86
tencompetence.csv,0.74,0.94,0.94,0.94,0.87,0.92,0.89,0.64,0.58,0.0,0.77,0.68,0.78,0.45,0.9,0.97,0.67
utgb.csv,0.89,0.61,0.55,0.81,0.93,0.57,0.89,0.98,0.69,0.5,0.7,0.72,0.58,0.4,0.57,0.58,0.73
xbrlapi.csv,0.47,0.86,0.53,0.44,0.48,0.8,0.48,0.94,0.5,0.0,0.7,0.61,0.5,0.32,0.75,0.0,0.99
zemljanka.csv,0.38,0.44,0.38,0.32,0.46,0.42,0.34,0.44,0.43,0.37,0.39,0.49,0.58,0.35,0.38,0.48,0.47
