,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.4,0.48,0.44,0.42,0.42,0.47,0.49,0.47,0.52,0.45,0.57
badtrinitycore.csv,0.67,0.82,0.98,0.98,0.89,0.0,0.75,0.95,0.97,0.92,0.89
boost.csv,0.38,0.46,0.58,0.6,0.65,0.54,0.44,0.57,0.7,0.5,0.57
electric-core.csv,0.39,0.54,0.85,0.48,0.52,0.4,0.53,0.68,0.6,0.43,0.45
java-gnome.csv,0.8,0.44,0.99,0.98,0.58,0.44,0.4,0.94,0.49,0.96,0.85
miranda-icq.csv,0.3,0.61,0.78,0.85,0.63,0.65,0.82,0.99,0.7,0.62,0.92
ofbiz.csv,0.75,0.36,0.81,0.7,0.61,0.86,0.95,0.56,0.67,0.44,0.82
olsrd.csv,0.3,0.39,0.37,0.38,0.41,0.52,0.41,0.43,0.43,0.41,0.48
opensim4opencog.csv,0.75,0.43,0.89,0.97,0.95,0.89,0.51,0.99,0.97,0.75,0.92
t-2.csv,0.9,0.95,0.66,0.66,0.79,0.95,0.61,0.99,0.67,0.74,0.94
xcf.csv,0.31,0.45,0.38,0.43,0.42,0.39,0.39,0.43,0.47,0.4,0.47
