,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,1.0,0.77,0.23,0.16,0.19,0.91,0.32,0.15,0.48,0.75,0.71
badtrinitycore.csv,0.67,0.82,0.47,1.0,0.09,0.0,0.0,0.06,0.62,0.61,0.44
boost.csv,0.52,0.76,0.33,0.22,0.12,0.69,0.28,0.15,0.99,0.67,0.57
electric-core.csv,0.5,0.72,0.99,0.12,0.1,0.79,0.23,0.06,0.34,0.67,0.49
java-gnome.csv,0.47,0.77,0.23,0.1,0.16,1.0,0.26,0.11,0.37,0.71,0.54
miranda-icq.csv,0.7,0.89,0.38,0.31,0.12,0.95,0.96,0.38,0.45,0.74,0.5
ofbiz.csv,0.5,0.94,0.13,0.12,0.23,0.79,0.35,0.17,0.49,1.0,0.64
olsrd.csv,0.59,1.0,0.25,0.15,0.16,0.83,0.28,0.12,0.45,0.74,0.59
opensim4opencog.csv,0.75,0.97,0.22,0.31,1.0,0.78,0.19,0.06,0.49,0.78,0.38
t-2.csv,0.5,0.59,0.16,0.07,0.09,0.57,0.21,0.99,0.37,0.57,0.28
xcf.csv,0.58,0.78,0.26,0.18,0.11,0.84,0.26,0.18,0.38,0.73,0.97
