,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.04,0.95,0.67,0.57,0.55,0.53,0.61,0.63,0.65,0.57,0.7
badtrinitycore.csv,0.92,0.81,0.83,0.09,0.89,1.0,1.0,0.9,0.86,0.84,0.82
boost.csv,0.85,0.96,0.5,0.46,0.71,0.92,0.78,0.63,0.03,0.76,0.62
electric-core.csv,0.84,0.99,0.1,0.77,0.85,0.88,0.8,0.92,0.84,0.86,0.92
java-gnome.csv,0.8,1.0,0.9,0.89,0.61,0.04,0.98,0.85,0.94,0.92,0.81
miranda-icq.csv,0.43,0.57,0.62,0.57,0.71,0.67,0.08,0.6,0.76,0.71,0.84
ofbiz.csv,0.93,0.55,0.89,0.77,0.6,0.83,0.87,0.64,0.73,0.01,0.79
olsrd.csv,0.75,0.03,0.69,0.64,0.6,0.66,0.72,0.83,0.6,0.61,0.62
opensim4opencog.csv,0.89,0.58,0.99,0.79,0.17,0.89,0.84,0.92,0.88,0.6,0.88
t-2.csv,0.83,1.04,0.83,0.88,0.81,0.97,0.83,0.06,0.75,0.87,0.95
xcf.csv,0.79,0.95,0.67,0.52,0.82,0.56,0.98,0.56,0.88,0.63,0.05
