,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.98,0.84,0.34,0.27,0.28,0.65,0.4,0.24,0.44,0.71,0.43
badtrinitycore.csv,0.14,0.33,0.25,0.96,0.1,0.0,0.0,0.09,0.23,0.3,0.32
boost.csv,0.65,0.82,0.44,0.32,0.2,0.56,0.42,0.23,0.98,0.68,0.6
electric-core.csv,0.59,0.73,0.95,0.21,0.17,0.85,0.34,0.1,0.45,0.74,0.61
java-gnome.csv,0.34,0.87,0.14,0.11,0.25,0.98,0.41,0.13,0.53,0.15,0.31
miranda-icq.csv,0.78,0.62,0.4,0.37,0.19,0.49,0.94,0.4,0.33,0.46,0.27
ofbiz.csv,0.13,0.61,0.14,0.17,0.3,0.31,0.19,0.24,0.37,0.99,0.33
olsrd.csv,0.74,0.99,0.39,0.25,0.26,0.56,0.4,0.21,0.52,0.73,0.56
opensim4opencog.csv,0.2,0.59,0.02,0.25,0.9,0.21,0.21,0.08,0.2,0.58,0.22
t-2.csv,0.28,0.43,0.23,0.11,0.15,0.31,0.29,0.96,0.46,0.46,0.2
xcf.csv,0.73,0.86,0.39,0.29,0.2,0.73,0.41,0.27,0.53,0.58,0.97
