,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.37,0.4,0.82,0.41,0.39,0.44,0.38,0.49,0.53,0.55,0.56,0.42,0.39,0.46,0.43,0.32
customsagetv.csv,0.8,0.96,0.0,0.67,0.93,0.48,0.77,0.67,0.9,0.71,0.67,0.83,0.59,0.67,0.94,0.48
fluidium.csv,0.0,0.83,0.0,0.92,0.0,0.92,0.0,0.0,0.67,0.5,0.0,0.0,0.0,0.57,0.0,0.75
guineu.csv,0.57,0.48,0.5,0.42,0.44,0.48,0.53,0.46,0.76,0.57,0.62,0.47,0.76,0.46,0.6,0.44
inkscape.csv,0.44,0.45,0.49,0.4,0.94,0.93,0.46,0.62,0.61,0.53,0.77,0.42,0.4,0.41,0.35,0.33
mpqc.csv,0.56,0.99,0.83,0.83,0.86,0.97,0.96,0.72,0.82,0.92,0.73,0.5,0.62,0.57,0.97,0.42
nsis.csv,0.43,0.47,0.56,0.87,0.47,0.82,0.41,0.75,0.63,0.57,0.6,0.39,0.47,0.86,0.37,0.49
octave.csv,0.51,0.66,0.75,0.79,0.58,0.9,0.93,0.46,0.95,0.81,0.76,0.59,0.93,0.67,0.9,0.53
owfs.csv,0.36,0.43,0.54,0.52,0.6,0.53,0.54,0.5,0.62,0.5,0.53,0.42,0.51,0.46,0.36,0.52
owlib.csv,0.3,0.36,0.35,0.3,0.37,0.38,0.33,0.3,0.35,0.37,0.36,0.32,0.33,0.35,0.29,0.29
pamguard.csv,0.5,0.65,0.39,0.39,0.53,0.58,0.38,0.43,0.41,0.6,0.55,0.5,0.38,0.67,0.41,0.61
prelude.csv,0.31,0.39,0.46,0.39,0.35,0.41,0.36,0.43,0.51,0.44,0.44,0.37,0.36,0.39,0.33,0.34
robocode.csv,0.4,0.48,0.0,0.5,0.47,0.4,0.34,0.48,0.6,0.48,0.41,0.41,0.41,0.33,0.44,0.46
uwom-server.csv,0.88,0.73,0.75,0.53,0.51,0.45,0.44,0.59,0.47,0.49,0.45,0.33,0.91,0.38,0.5,0.88
zengine.csv,0.31,0.4,0.44,0.39,0.38,0.43,0.36,0.43,0.57,0.43,0.48,0.44,0.37,0.47,0.33,0.32
zildo.csv,0.45,0.37,0.5,0.39,0.65,0.65,0.47,0.73,0.42,0.49,0.5,0.65,0.42,0.57,0.33,0.43
