,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.68,0.88,0.79,0.56,0.75,0.73,0.48,0.63,0.7,0.0
geotools.csv,0.37,0.1,0.07,0.19,0.25,0.08,0.0,0.1,0.08,0.06
gephex.csv,0.62,0.56,0.55,0.69,0.64,0.54,0.59,0.02,0.57,0.59
haggle.csv,0.76,0.02,0.1,0.44,0.59,0.58,0.12,0.73,0.07,0.09
java-gnome.csv,0.37,0.39,0.15,0.12,0.6,0.17,0.42,0.1,0.3,0.24
jgnash.csv,0.26,0.37,0.0,0.06,0.23,0.12,0.26,0.1,0.14,0.47
jrdf.csv,0.1,0.07,0.36,0.25,0.12,0.0,0.29,0.0,0.22,0.47
mpqc.csv,0.01,0.44,0.49,0.38,0.49,0.34,0.57,0.83,0.65,0.5
panda3d.csv,0.19,0.15,0.22,0.12,0.03,0.14,0.25,0.24,0.11,0.0
tencompetence.csv,0.28,0.32,0.52,0.5,0.26,0.8,0.68,0.1,0.01,0.44
