,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.52,0.57,0.4,0.43,0.49,0.35,0.52,0.42,0.45,0.44
geotools.csv,0.63,0.93,0.94,0.93,0.77,0.89,0.68,0.92,0.9,0.9
gephex.csv,0.63,0.51,0.53,0.35,0.5,0.43,0.44,0.49,0.44,0.41
haggle.csv,0.44,0.57,0.95,0.55,0.52,0.46,0.97,0.39,0.93,0.86
java-gnome.csv,0.86,0.55,0.82,0.42,0.43,0.58,0.4,0.94,0.51,0.59
jgnash.csv,0.94,0.67,0.96,0.62,0.82,0.91,0.52,0.94,0.87,0.74
jrdf.csv,0.93,0.89,0.59,0.48,0.94,0.92,0.53,0.86,0.89,0.5
mpqc.csv,0.94,0.86,0.82,0.95,0.88,0.95,0.67,0.41,0.78,0.46
panda3d.csv,0.95,0.94,0.84,0.8,0.76,0.91,0.66,0.84,0.97,0.67
tencompetence.csv,0.97,0.89,0.66,0.43,0.84,0.44,0.62,0.91,0.63,0.91
