,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,1.0,0.0,46.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
geotools.csv,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
gephex.csv,1.0,0.0,41.0,0.0,3.0,11.0,13.0,0.0,0.0,0.0
haggle.csv,0.0,0.0,3.0,1.0,3.0,18.0,4.0,0.0,0.0,1.0
java-gnome.csv,1.0,1.0,5.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0
jgnash.csv,2.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0
jrdf.csv,0.0,1.0,20.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0
mpqc.csv,0.0,0.0,49.0,0.0,3.0,4.0,29.0,0.0,0.0,0.0
panda3d.csv,127.0,0.0,17.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
tencompetence.csv,0.0,2.0,51.0,0.0,2.0,7.0,30.0,0.0,1.0,8.0
