,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.48,0.35,0.55,0.74,0.53,0.62,0.49,0.57,0.48,0.98
geotools.csv,0.34,0.17,0.28,0.22,0.29,0.31,0.97,0.13,0.02,0.35
gephex.csv,0.66,0.6,0.62,0.63,0.63,0.7,0.64,0.97,0.52,0.58
haggle.csv,0.46,0.99,0.24,0.58,0.62,0.46,0.19,0.47,0.06,0.07
java-gnome.csv,0.48,0.45,0.53,0.97,0.56,0.64,0.56,0.21,0.35,0.49
jgnash.csv,0.29,0.32,0.93,0.4,0.44,0.31,0.51,0.24,0.18,0.2
jrdf.csv,0.18,0.1,0.57,0.8,0.1,0.89,0.46,0.12,0.13,0.43
mpqc.csv,0.87,0.47,0.23,0.29,0.44,0.15,0.41,0.46,0.43,0.75
panda3d.csv,0.0,0.18,0.28,0.06,0.96,0.24,0.36,0.25,0.19,0.06
tencompetence.csv,0.53,0.22,0.48,0.58,0.37,0.46,0.4,0.12,0.98,0.13
