,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.55,0.69,0.92,0.89,0.73,0.93,0.48,0.66,0.56,0.98
geotools.csv,0.3,0.14,0.24,0.19,0.25,0.27,0.96,0.11,0.02,0.3
gephex.csv,0.8,0.66,0.68,0.86,0.77,0.8,0.74,0.97,0.55,0.64
haggle.csv,0.6,0.99,0.2,0.58,0.71,0.47,0.16,0.58,0.05,0.06
java-gnome.csv,0.45,0.42,0.48,1.0,0.62,0.6,0.55,0.18,0.31,0.45
jgnash.csv,0.25,0.28,0.92,0.35,0.4,0.27,0.47,0.2,0.15,0.17
jrdf.csv,0.15,0.08,0.56,0.81,0.08,0.87,0.42,0.1,0.11,0.41
mpqc.csv,0.85,0.45,0.2,0.26,0.42,0.13,0.41,0.79,0.46,0.86
panda3d.csv,0.0,0.15,0.24,0.05,0.96,0.2,0.32,0.21,0.16,0.05
tencompetence.csv,0.5,0.19,0.48,0.6,0.33,0.67,0.42,0.1,0.98,0.11
