,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.64,0.14,0.7,0.39,0.7,0.47,0.6,0.55,0.67,0.56,0.36,0.44
gamestone.csv,0.05,0.87,0.17,0.38,0.17,0.0,0.0,0.05,0.02,0.2,0.0,0.07
gbif-providertoolkit.csv,0.48,0.0,0.44,0.54,0.71,0.62,0.58,0.66,0.76,0.47,0.35,0.34
heekscad.csv,0.77,0.64,0.7,0.56,0.62,0.5,0.62,0.61,0.72,0.55,0.73,0.66
igarden.csv,0.57,0.42,0.39,0.69,0.4,0.46,0.41,0.24,0.58,0.17,0.89,0.51
levent.csv,0.48,0.15,0.0,0.0,0.63,0.63,0.54,0.0,0.0,0.0,0.0,0.0
lportal.csv,0.29,0.0,0.33,0.0,0.09,0.15,0.04,0.55,0.75,0.02,0.0,0.1
openmsx.csv,0.67,0.64,0.4,0.6,0.25,0.26,0.04,0.4,0.0,0.54,0.1,0.22
owlapi.csv,0.3,0.0,0.44,0.19,0.58,0.63,0.39,0.76,0.44,0.48,0.75,0.63
pnotepad.csv,0.64,0.71,0.61,0.13,0.39,0.6,0.6,0.44,0.05,0.45,0.0,0.88
quark.csv,0.29,0.29,0.37,0.04,0.25,0.07,0.1,0.24,0.21,0.11,0.84,0.34
xcsoar.csv,0.69,0.43,0.69,0.59,0.63,0.51,0.51,0.58,0.7,0.49,0.0,0.29
