,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.61,0.9,0.53,0.73,0.61,0.65,0.5,0.56,0.51,0.72,0.9,0.64
gamestone.csv,0.96,0.21,0.88,0.75,0.9,1.0,1.0,0.98,0.99,0.86,1.0,0.94
gbif-providertoolkit.csv,0.81,1.14,0.73,0.66,0.39,0.74,0.74,0.44,0.49,0.73,0.75,0.9
heekscad.csv,0.34,0.47,0.44,0.61,0.65,0.63,0.63,0.54,0.54,0.62,0.65,0.64
igarden.csv,0.51,0.7,0.66,0.47,0.68,0.62,0.68,0.81,0.65,0.86,0.38,0.55
levent.csv,0.61,0.88,1.0,1.0,0.72,0.51,0.62,1.0,1.0,1.0,1.0,1.0
lportal.csv,0.78,1.0,0.73,1.0,0.93,0.88,0.97,0.56,0.32,0.98,1.0,0.92
openmsx.csv,0.49,0.7,0.8,0.73,0.81,0.78,0.98,0.67,1.0,0.61,0.95,0.95
owlapi.csv,0.95,1.04,0.78,0.86,0.75,0.58,0.88,0.34,0.66,0.83,0.52,0.66
pnotepad.csv,0.43,0.61,0.74,0.97,0.89,0.65,0.61,0.88,0.99,0.87,1.0,0.15
quark.csv,0.76,0.75,0.68,0.97,0.79,0.94,0.92,0.81,0.83,0.91,0.26,0.72
xcsoar.csv,0.39,0.63,0.4,0.61,0.53,0.59,0.59,0.54,0.54,0.73,1.0,0.75
