,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.97,0.8,0.94,0.96,0.92,0.95,0.0,0.97,0.89,0.93,0.95,0.0,0.8,0.75,0.67,0.91,0.67,0.0,0.8,0.95
baadengine.csv,0.44,0.48,0.48,0.46,0.4,0.46,0.46,0.38,0.34,0.45,0.43,0.29,0.33,0.33,0.45,0.35,0.44,0.31,0.39,0.39
bibedt.csv,0.59,0.93,0.66,0.71,0.55,0.68,0.62,0.79,0.58,0.88,0.66,0.82,0.9,0.45,0.96,0.91,0.67,0.89,0.47,0.43
cascading.csv,0.44,0.37,0.48,0.5,0.51,0.47,0.46,0.39,0.46,0.38,0.55,0.32,0.34,0.45,0.54,0.33,0.43,0.62,0.47,0.46
chaosrts.csv,0.39,0.37,0.39,0.37,0.38,0.46,0.55,0.33,0.34,0.33,0.45,0.29,0.41,0.35,0.36,0.32,0.35,0.52,0.4,0.39
exl.csv,0.39,0.35,0.35,0.36,0.43,0.42,0.45,0.35,0.34,0.38,0.44,0.3,0.38,0.34,0.36,0.31,0.34,0.36,0.39,0.44
gnome-jabber.csv,0.46,0.39,0.37,0.42,0.47,0.44,0.56,0.4,0.38,0.44,0.48,0.45,0.4,0.38,0.53,0.35,0.41,0.52,0.42,0.42
gogoego.csv,0.53,0.65,0.83,0.62,0.87,0.83,0.59,0.86,0.6,0.7,0.58,0.69,0.48,0.83,0.68,0.97,0.68,0.52,0.61,0.78
httpcontentparser.csv,0.94,0.5,0.8,0.83,0.93,0.95,0.83,0.97,0.95,0.92,0.94,0.5,0.9,0.79,0.86,0.89,0.93,0.97,0.91,0.89
impala.csv,0.85,0.59,0.89,0.46,0.42,0.53,0.75,0.38,0.47,0.0,0.96,0.48,0.67,0.82,0.5,0.95,0.59,0.73,0.5,0.91
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.97,0.5,0.96,0.79,0.89,0.84,0.97,0.81,0.97,0.86,0.93,0.69,0.86,0.67,0.88,0.89,0.91,0.98,0.96,0.0
jhotdraw.csv,0.99,0.75,0.95,0.91,0.85,0.94,0.5,0.97,0.98,0.67,0.96,0.5,0.83,0.83,0.94,0.75,0.8,0.97,0.93,0.92
patterntesting.csv,0.61,0.44,0.51,0.42,0.4,0.47,0.44,0.45,0.37,0.59,0.46,0.3,0.5,0.36,0.5,0.41,0.49,0.36,0.39,0.46
pokeglobal.csv,0.52,0.42,0.44,0.47,0.49,0.44,0.52,0.37,0.34,0.52,0.68,0.3,0.92,0.34,0.42,0.36,0.46,0.36,0.39,0.88
snakeyaml.csv,0.97,0.79,0.96,0.65,0.81,0.71,0.97,0.95,0.76,0.95,0.58,0.65,0.44,0.6,0.96,0.97,0.85,0.65,0.91,0.94
unflobtactical.csv,0.56,0.82,0.97,0.73,0.59,0.72,0.6,0.74,0.98,0.79,0.57,0.88,0.56,0.47,0.97,0.74,0.78,0.84,0.53,0.55
werx.csv,0.41,0.37,0.36,0.42,0.4,0.48,0.54,0.36,0.36,0.44,0.45,0.3,0.39,0.38,0.41,0.33,0.39,0.52,0.38,0.48
zealos.csv,0.65,0.82,0.53,0.65,0.72,0.73,0.66,0.77,0.57,0.88,0.61,0.54,0.79,0.57,0.92,0.98,0.82,0.79,0.68,0.48
