,apolloplayer.csv,utgb.csv,pcgen.csv,emulemorph.csv,continuum-ide.csv,azureus.csv,stemkit.csv,factor.csv,columba.csv
apolloplayer.csv,0.96,0.17,0.29,0.67,0.71,0.54,0.67,0.29,0.34
azureus.csv,0.38,0.31,0.38,0.33,0.24,0.93,0.17,0.29,0.59
columba.csv,0.46,0.4,0.62,0.0,0.82,0.75,0.83,0.76,0.92
continuum-ide.csv,0.12,0.17,0.36,0.17,0.94,0.25,0.0,0.02,0.21
emulemorph.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.17,0.11
factor.csv,0.0,0.03,0.04,0.0,0.06,0.14,0.5,1.0,0.04
pcgen.csv,0.29,0.26,0.98,0.17,0.35,0.54,0.0,0.37,0.23
stemkit.csv,0.21,0.03,0.0,0.0,0.0,0.0,1.0,0.12,0.01
utgb.csv,0.33,0.91,0.04,0.17,0.12,0.05,0.17,0.29,0.25
