,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.52,0.59,0.2,0.13,0.57,0.66,0.53,0.35,0.59,0.82,0.56,0.43,0.66,0.54,0.64,0.56,0.65,0.65,0.46,0.0
blogentis.csv,0.48,0.54,0.56,0.14,0.0,0.31,0.68,0.33,0.0,0.93,0.64,0.61,0.32,0.64,0.42,0.36,0.33,0.17,0.45,0.0
carabiner.csv,0.51,0.27,0.27,0.46,0.77,0.21,0.64,0.5,0.37,0.83,0.52,0.57,0.55,0.2,0.55,0.69,0.54,0.69,0.55,0.75
continuum-ide.csv,0.0,0.6,0.0,0.29,0.16,0.31,0.29,0.25,0.0,0.97,0.55,0.24,0.2,0.34,0.72,0.49,0.22,0.21,0.11,0.92
emulemorph.csv,0.0,0.0,0.0,0.62,0.51,0.11,0.56,0.0,0.45,0.0,0.01,0.51,0.79,0.39,0.07,0.0,0.06,0.11,0.4,0.0
free-evolution.csv,0.89,0.0,0.0,0.47,0.6,0.69,0.65,0.34,0.63,0.81,0.7,0.79,0.65,0.72,0.46,0.58,0.62,0.8,0.65,0.09
gtad.csv,0.96,0.62,0.28,0.35,0.17,0.49,0.6,0.15,0.12,0.91,0.44,0.45,0.53,0.42,0.39,0.73,0.33,0.27,0.28,0.0
htmlunit.csv,0.86,0.5,0.28,0.66,0.36,0.64,0.52,0.19,0.44,0.72,0.62,0.95,0.51,0.58,0.6,0.64,0.45,0.69,0.4,0.0
jaxen.csv,0.47,0.44,0.33,0.69,0.0,0.59,0.51,0.46,0.84,0.38,0.57,0.98,0.41,0.57,0.41,0.53,0.43,0.47,0.58,0.0
jsr308-langtools.csv,0.69,0.34,0.0,0.0,0.63,0.39,0.0,0.0,0.56,0.0,0.0,0.05,0.0,0.92,0.36,0.09,0.35,0.0,0.44,0.0
jvcl.csv,0.55,0.12,0.56,0.65,0.24,0.31,0.42,0.07,0.61,0.0,0.21,0.61,0.53,0.04,0.45,0.27,0.23,0.4,0.32,0.82
kaffeine.csv,0.27,0.12,0.28,0.05,0.84,0.68,0.64,0.54,0.12,0.79,0.67,0.67,0.29,0.21,0.55,0.65,0.57,0.51,0.61,0.83
m-m-m.csv,0.52,0.44,0.68,0.43,0.55,0.57,0.32,0.78,0.43,0.13,0.49,0.0,0.19,0.51,0.59,0.27,0.46,0.09,0.6,0.91
motu.csv,0.78,0.58,0.67,0.27,0.56,0.4,0.13,0.57,0.46,0.0,0.05,0.05,0.68,0.34,0.48,0.57,0.59,0.66,0.49,0.33
nh3d.csv,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.69,0.4,0.48,0.35,0.26,0.8,0.28,0.29,0.23,0.91,0.32,0.59,0.2,0.53,0.63,0.61,0.48,0.53,0.5,0.94
taokgame.csv,0.54,0.1,0.0,0.35,0.12,0.31,0.25,0.05,0.98,0.0,0.17,0.44,0.53,0.3,0.28,0.35,0.41,0.31,0.31,0.0
wgs-assembler.csv,0.89,0.58,0.26,0.13,0.22,0.64,0.72,0.26,0.12,0.88,0.58,0.77,0.64,0.7,0.67,0.76,0.54,0.54,0.46,0.0
