,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.28,0.17,0.11,0.42,0.16,0.24,0.84,0.05,0.52,0.6,0.13,0.79,0.4,0.12,0.4,0.31,0.77,0.97,0.41
aubit4gl.csv,0.65,0.27,0.33,0.67,0.33,0.25,1.0,0.0,0.67,0.85,0.07,0.76,0.64,0.33,0.71,0.27,0.62,0.89,0.5
ipfilter.csv,0.28,0.15,0.11,0.36,0.16,0.2,0.45,0.04,0.56,0.59,0.17,0.81,0.55,0.13,0.5,0.3,0.98,0.96,0.37
jmol.csv,0.3,0.19,0.11,0.4,0.16,0.39,0.77,0.06,0.53,0.61,0.14,0.89,0.49,0.12,0.47,0.26,0.71,0.99,0.49
liferea.csv,0.35,0.22,0.04,0.5,0.22,0.43,0.71,0.06,0.34,0.62,0.23,0.81,0.55,0.1,0.54,0.38,0.79,0.97,0.45
miranda-icq.csv,0.35,0.2,0.2,0.48,0.29,0.27,0.59,0.07,0.0,0.77,0.12,0.81,0.52,0.2,0.5,0.44,0.96,0.0,0.6
moving-pictures.csv,0.38,0.3,0.11,0.45,0.18,0.29,0.0,0.16,0.56,0.67,0.25,0.81,0.52,0.33,0.71,0.33,0.72,0.97,0.58
opensim4opencog.csv,0.43,0.35,0.06,0.48,0.24,0.39,1.0,0.09,0.57,0.74,0.22,0.83,0.54,0.12,0.54,0.33,0.76,0.98,0.6
pclasses.csv,0.43,0.5,0.0,0.38,0.25,0.25,1.0,0.0,0.67,0.42,0.15,0.83,0.31,0.5,0.45,0.0,0.42,1.0,0.42
pfaedit.csv,0.32,0.2,0.14,0.62,0.21,0.31,1.0,0.07,0.58,0.85,0.21,0.79,0.55,0.17,0.67,0.44,1.0,0.96,0.64
plearn.csv,0.44,0.27,0.1,0.5,0.21,0.5,1.0,0.03,0.33,0.45,0.14,0.84,0.48,0.0,0.45,0.0,0.8,1.0,0.35
psrchive.csv,0.39,0.21,0.45,0.5,0.39,0.24,0.56,0.06,0.59,0.61,0.12,0.84,0.49,0.14,0.54,0.28,0.76,0.95,0.46
re2c.csv,0.36,0.2,0.86,0.34,0.17,0.26,0.4,0.17,0.72,0.64,0.08,0.81,0.52,0.0,0.5,0.19,0.56,0.93,0.31
rockbox.csv,0.43,0.0,0.0,0.43,0.32,0.26,1.0,0.11,0.63,0.66,0.22,0.91,0.56,0.19,0.57,0.27,0.67,0.95,0.59
theresa.csv,0.44,0.11,0.1,0.49,0.3,0.46,0.77,0.2,0.57,0.76,0.18,0.88,0.64,0.14,0.61,0.26,0.7,0.97,0.78
tktoolkit.csv,0.21,0.17,0.21,0.28,0.19,0.23,1.0,0.12,0.52,0.67,0.13,0.83,0.53,0.37,0.56,0.21,0.84,0.94,0.42
tzod.csv,0.36,0.1,0.12,0.57,0.2,0.26,0.63,0.17,0.6,0.72,0.17,0.9,0.57,0.12,0.33,0.3,0.75,0.97,0.67
yaprm.csv,0.39,0.16,0.07,0.52,0.23,0.33,0.0,0.15,0.6,0.84,0.25,0.86,0.68,0.17,0.75,0.35,0.86,1.0,0.5
zemljanka.csv,0.3,0.2,0.11,0.43,0.16,0.19,0.6,0.1,0.57,0.64,0.13,0.79,0.53,0.12,0.43,0.22,0.61,1.0,0.37
