,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.62,0.72,0.97,0.72,0.48
elmo.csv,0.83,0.0,0.15,0.06,0.04
mscore.csv,0.45,0.63,0.49,0.68,0.98
tolven.csv,0.72,0.23,0.19,0.97,0.06
xbplayer.csv,0.0,0.96,0.11,0.43,0.28
